"","x"
"1",-318585
"2",661545
"3",543883
"4",-947515
"5",760424
"6",132637
"7",-580518
"8",-193340
"9",-612204
"10",766659
"11",-337923
"12",475015
"13",194030
"14",780296
"15",488661
"16",603829
"17",-801025
"18",-120148
"19",861667
"20",900140
"21",191750
"22",974865
"23",533352
"24",709758
"25",-91763
"26",-463726
"27",986060
"28",-294875
"29",438698
"30",-533958
"31",-184021
"32",714779
"33",-852285
"34",256059
"35",-9548
"36",418643
"37",-83200
"38",-833590
"39",634640
"40",-91935
"41",924188
"42",-904052
"43",-435330
"44",952094
"45",891424
"46",162193
"47",-889169
"48",891287
"49",996762
"50",367546
"51",-630834
"52",497623
"53",563035
"54",-903348
"55",249986
"56",-744128
"57",848384
"58",462549
"59",-771310
"60",-245396
"61",-517341
"62",-333251
"63",183966
"64",-482234
"65",974954
"66",423990
"67",-850642
"68",-291997
"69",584826
"70",-596197
"71",-703103
"72",-768240
"73",901415
"74",-365427
"75",336979
"76",-973462
"77",-842442
"78",-170438
"79",-80880
"80",969359
"81",-936391
"82",-545526
"83",-817746
"84",264054
"85",549900
"86",451937
"87",307915
"88",336275
"89",407956
"90",-842351
"91",-220366
"92",-829981
"93",5632
"94",302752
"95",-980137
"96",953906
"97",723822
"98",55663
"99",400024
"100",-611048
