"","x"
"1",270229
"2",546429
"3",754711
"4",871876
"5",209929
"6",332195
"7",-736583
"8",182757
"9",-476602
"10",-655939
"11",239726
"12",91070
"13",282283
"14",-483683
"15",-772521
"16",-281708
"17",-8661
"18",171635
"19",552432
"20",-391920
"21",-649478
"22",-142402
"23",-948505
"24",15624
"25",911096
"26",575942
"27",933706
"28",236915
"29",-966057
"30",290493
"31",-483082
"32",836636
"33",512926
"34",-433530
"35",585383
"36",423164
"37",-654746
"38",-439230
"39",803607
"40",562237
"41",-245789
"42",-156110
"43",330783
"44",-597150
"45",-37493
"46",-404787
"47",-308881
"48",-413278
"49",868139
"50",553398
"51",751875
"52",-567112
"53",813251
"54",296382
"55",960519
"56",-92765
"57",52428
"58",-820316
"59",-742113
"60",-280355
"61",-934228
"62",702226
"63",818705
"64",-11453
"65",302281
"66",-446655
"67",-880824
"68",48999
"69",866021
"70",-864523
"71",555430
"72",-359511
"73",2998
"74",-58286
"75",-267730
"76",-360623
"77",610477
"78",39257
"79",982930
"80",-869537
"81",575383
"82",48801
"83",-315841
"84",854860
"85",-366060
"86",-973121
"87",943305
"88",503107
"89",613315
"90",-551327
"91",-129780
"92",-16525
"93",572219
"94",477208
"95",964176
"96",-404561
"97",-895940
"98",933008
"99",-585988
"100",-796299
