"","x"
"1",498842
"2",579150
"3",-786148
"4",-251512
"5",-480585
"6",43724
"7",633613
"8",-748532
"9",622926
"10",91585
"11",990221
"12",-94996
"13",798826
"14",838914
"15",-704745
"16",-702561
"17",-544374
"18",985876
"19",-3919
"20",395588
"21",-610869
"22",215317
"23",-115918
"24",768067
"25",414619
"26",808659
"27",908166
"28",43237
"29",-684305
"30",-231541
"31",546886
"32",757693
"33",341648
"34",208436
"35",-570111
"36",-274113
"37",346393
"38",-420933
"39",72451
"40",37474
"41",810309
"42",-294895
"43",-252008
"44",-536624
"45",-225512
"46",59981
"47",-986711
"48",-479375
"49",17788
"50",610920
"51",985282
"52",-485897
"53",-358236
"54",-713236
"55",893020
"56",27863
"57",576567
"58",576708
"59",152842
"60",808504
"61",696444
"62",467729
"63",41659
"64",-273856
"65",-219651
"66",-862897
"67",141155
"68",-777873
"69",-446091
"70",842907
"71",-190123
"72",793892
"73",448309
"74",-748627
"75",-782814
"76",-980372
"77",-190579
"78",542600
"79",-671829
"80",387103
"81",-265814
"82",-991624
"83",-773944
"84",333040
"85",660210
"86",-497321
"87",-386056
"88",-544047
"89",507397
"90",-937196
"91",451762
"92",564035
"93",-331166
"94",867377
"95",201852
"96",671562
"97",-910121
"98",-198759
"99",-644066
"100",658860
