"","x"
"1",-355858
"2",-280323
"3",-922612
"4",-729335
"5",-401479
"6",179867
"7",-481302
"8",809751
"9",779026
"10",633317
"11",378007
"12",-956833
"13",102417
"14",-680068
"15",-111754
"16",815026
"17",174453
"18",194072
"19",-179824
"20",589063
"21",-833880
"22",-20541
"23",479577
"24",-95876
"25",-541146
"26",598816
"27",365651
"28",-170687
"29",462881
"30",-903721
"31",887286
"32",947404
"33",-747688
"34",339369
"35",-192853
"36",700488
"37",-328610
"38",-373505
"39",554821
"40",-264554
"41",667829
"42",195678
"43",-528084
"44",-718705
"45",66209
"46",-903104
"47",-961792
"48",529553
"49",-599837
"50",-711755
"51",686396
"52",821482
"53",-126549
"54",892199
"55",-516276
"56",-187643
"57",132901
"58",-54240
"59",818766
"60",571502
"61",549831
"62",601485
"63",431306
"64",-600295
"65",273714
"66",23853
"67",361335
"68",-660580
"69",974404
"70",-224106
"71",-625020
"72",-900309
"73",334889
"74",4430
"75",-537227
"76",751314
"77",-478249
"78",165612
"79",795090
"80",-585024
"81",568238
"82",-223069
"83",647320
"84",289280
"85",689989
"86",564968
"87",668218
"88",-342307
"89",556994
"90",-835279
"91",-300244
"92",230760
"93",-146944
"94",-244946
"95",-111242
"96",-926377
"97",-779341
"98",-580859
"99",497256
"100",522541
