"","x"
"1",627957
"2",66880
"3",32607
"4",250489
"5",-313259
"6",96168
"7",-552716
"8",-836565
"9",-130867
"10",46161
"11",-427809
"12",-757748
"13",-323649
"14",93872
"15",-326060
"16",-832429
"17",116916
"18",615476
"19",-287454
"20",300257
"21",926506
"22",729710
"23",-13677
"24",618312
"25",-820357
"26",294565
"27",326091
"28",-427622
"29",-199842
"30",-713072
"31",-250724
"32",-770777
"33",-231221
"34",387415
"35",991809
"36",-853920
"37",-973054
"38",436154
"39",-49137
"40",-195804
"41",-358258
"42",-696573
"43",-402000
"44",-192147
"45",-54234
"46",492013
"47",509699
"48",-481938
"49",783813
"50",993370
"51",497172
"52",822718
"53",395068
"54",38154
"55",829981
"56",-180013
"57",938744
"58",-187315
"59",-745656
"60",-397820
"61",-843356
"62",-909415
"63",434009
"64",818069
"65",845622
"66",188228
"67",309093
"68",-417741
"69",-323231
"70",222472
"71",-771729
"72",850361
"73",-502109
"74",492676
"75",226392
"76",-84905
"77",468701
"78",-890463
"79",-982427
"80",254762
"81",-185423
"82",-400753
"83",-33600
"84",-389088
"85",676222
"86",-405522
"87",-96374
"88",-58008
"89",269246
"90",-485464
"91",-234170
"92",270550
"93",985628
"94",265425
"95",427044
"96",899307
"97",50191
"98",317223
"99",734168
"100",-832779
