"","x"
"1",-915653
"2",-98914
"3",-950790
"4",270441
"5",-139930
"6",-810485
"7",878890
"8",-62031
"9",358584
"10",978173
"11",634413
"12",474995
"13",-66744
"14",-417549
"15",-919589
"16",-332875
"17",515497
"18",-888864
"19",-17909
"20",-380020
"21",351466
"22",775236
"23",67468
"24",-660823
"25",-446995
"26",-49808
"27",-979925
"28",704802
"29",-98608
"30",219646
"31",-767473
"32",141666
"33",-84408
"34",319099
"35",-453725
"36",195146
"37",600581
"38",564700
"39",761605
"40",86802
"41",740427
"42",633745
"43",333265
"44",-792912
"45",-907884
"46",173888
"47",401975
"48",-146842
"49",-747136
"50",249672
"51",-989923
"52",-967790
"53",415407
"54",882358
"55",873253
"56",34128
"57",-22434
"58",605043
"59",285197
"60",-327001
"61",-49590
"62",-940036
"63",-993626
"64",720885
"65",513547
"66",-89822
"67",-322752
"68",-538135
"69",259640
"70",154324
"71",-873264
"72",296029
"73",-817315
"74",613536
"75",803726
"76",-814286
"77",-164067
"78",954390
"79",962970
"80",384147
"81",541511
"82",573458
"83",-445777
"84",291811
"85",955584
"86",836923
"87",338406
"88",-383616
"89",-763472
"90",440611
"91",862268
"92",552629
"93",-207756
"94",-640763
"95",271598
"96",-979873
"97",-995149
"98",198530
"99",29670
"100",-852382
