"","x"
"1",42360
"2",-218057
"3",339467
"4",-641173
"5",-116318
"6",-525511
"7",-606780
"8",653115
"9",41890
"10",962072
"11",889568
"12",-835565
"13",-595944
"14",547299
"15",-19197
"16",684379
"17",-798603
"18",-568958
"19",-571748
"20",-476625
"21",-947975
"22",-946401
"23",-136728
"24",870782
"25",390078
"26",-604677
"27",-290326
"28",112695
"29",565890
"30",747205
"31",-498040
"32",-884766
"33",-960887
"34",-666162
"35",894012
"36",-289011
"37",470525
"38",-302063
"39",417287
"40",300777
"41",-746011
"42",325236
"43",-842526
"44",-972319
"45",-222645
"46",69306
"47",-309592
"48",210065
"49",587626
"50",-591812
"51",-446864
"52",-688784
"53",668000
"54",-157597
"55",408352
"56",549991
"57",520284
"58",-106298
"59",-833527
"60",730890
"61",1633
"62",-38107
"63",717608
"64",68102
"65",432658
"66",-612194
"67",699735
"68",-139761
"69",443790
"70",-541241
"71",123345
"72",-409690
"73",870405
"74",946886
"75",695294
"76",-306067
"77",298262
"78",-952969
"79",766610
"80",83255
"81",-217044
"82",728354
"83",785301
"84",205904
"85",103638
"86",-252142
"87",550730
"88",386176
"89",-140435
"90",102609
"91",966354
"92",81285
"93",649407
"94",-966447
"95",630354
"96",576205
"97",815606
"98",-137375
"99",456149
"100",-113610
