"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"18","Trait18","mrMLM","PstI.TP1193013"," 6","60825902"," 1.5006","3.4057","4.1256"," 0.0000","0.1154","C","0.7113","1.7375"
"18","Trait18","mrMLM","PstI.TP55941"," 6","51146867","-0.5864","3.2485","3.9592","19.5347","0.2596","C","",""
"18","Trait18","mrMLM","NsiI.TP482576","11","   14924","-1.7499","4.6159","5.3960"," 0.0000","0.0337","C","",""
"18","Trait18","FASTmrMLM","PstI.TP995173","2","70172526","-0.4476","3.8493","4.5933","11.5263","0.3066","C","0.9137","1.7375"
"18","Trait18","FASTmrMLM","PstI.TP55941","6","51146867","-0.59","3.3933","4.1125","19.7745","0.2547","C","",""
"18","Trait18","FASTmrEMMA","PstI.TP577552","2","61335361","3.7917","4.4685","5.2421","11.0461","0.0283","A","0.7423","1.7375"
"18","Trait18","FASTmrEMMA","PstI.TP1193013","6","60825902","2.0077","3.0372","3.7348","10.1586","0.1132","C","",""
"18","Trait18","FASTmrEMMA","NsiI.TP482576","11","14924","-2.3908","3.4086","4.1286","5.0726","0.033","C","",""
"18","Trait18","pLARmEB","PstI.TP55941","6","51146867","-0.5286","3.3579","4.075","14.0063","0.2547","C","0.9382","1.7375"
"18","Trait18","ISIS EM-BLASSO","PstI.TP55941","6","51146867","-0.5579","3.8948","4.6411","17.6816","0.2547","C","0.8616","1.7375"
