"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"15","Trait15","mrMLM","PstI.TP1193013"," 6","60825902"," 1.7835","3.4057","4.1256"," 0.0000","0.1154","C","1.0047","2.4543"
"15","Trait15","mrMLM","PstI.TP55941"," 6","51146867","-0.6969","3.2485","3.9592","19.5347","0.2596","C","",""
"15","Trait15","mrMLM","NsiI.TP482576","11","   14924","-2.0797","4.6159","5.3960"," 0.0000","0.0337","C","",""
"15","Trait15","FASTmrMLM","PstI.TP995173","2","70172526","-0.5318","3.8493","4.5933","11.5185","0.3066","C","1.2908","2.4543"
"15","Trait15","FASTmrMLM","PstI.TP55941","6","51146867","-0.7012","3.3933","4.1125","19.7766","0.2547","C","",""
"15","Trait15","FASTmrEMMA","PstI.TP577552","2","61335361","4.5064","4.4685","5.2421","11.0459","0.0283","A","1.0485","2.4543"
"15","Trait15","FASTmrEMMA","PstI.TP1193013","6","60825902","2.3864","3.0372","3.7348","10.1602","0.1132","C","",""
"15","Trait15","FASTmrEMMA","NsiI.TP482576","11","14924","-2.8416","3.4086","4.1286","5.0727","0.033","C","",""
"15","Trait15","pLARmEB","PstI.TP55941","6","51146867","-0.6282","3.3579","4.075","14.0063","0.2547","C","1.3252","2.4543"
"15","Trait15","ISIS EM-BLASSO","PstI.TP55941","6","51146867","-0.663","3.8948","4.6411","17.6816","0.2547","C","1.217","2.4543"
