"","x"
"1",630532
"2",-39907
"3",-870754
"4",-225056
"5",322219
"6",735868
"7",-876010
"8",-888696
"9",-304084
"10",-815598
"11",248881
"12",684479
"13",783271
"14",-737422
"15",-127752
"16",-431924
"17",-496697
"18",721313
"19",874583
"20",159352
"21",622159
"22",-218522
"23",-937213
"24",-53064
"25",562667
"26",712869
"27",162983
"28",193293
"29",543909
"30",672582
"31",-472879
"32",-909034
"33",48027
"34",516148
"35",-775277
"36",-279728
"37",718611
"38",-960794
"39",-36941
"40",-575485
"41",-437741
"42",338020
"43",-631115
"44",-458323
"45",434916
"46",-294823
"47",-291081
"48",590379
"49",-236728
"50",-563278
"51",160943
"52",644850
"53",854773
"54",78641
"55",-394578
"56",519993
"57",971977
"58",-41219
"59",-113695
"60",785127
"61",953686
"62",-521516
"63",-858855
"64",699652
"65",-96850
"66",322475
"67",-928679
"68",631483
"69",2221
"70",241843
"71",551562
"72",-300703
"73",-490656
"74",-731191
"75",118040
"76",162094
"77",14194
"78",-343022
"79",361934
"80",-724339
"81",244044
"82",773879
"83",151093
"84",292793
"85",458926
"86",962477
"87",515351
"88",-752407
"89",-351969
"90",-927173
"91",353161
"92",714126
"93",-396418
"94",-640832
"95",128166
"96",424467
"97",-194402
"98",19414
"99",407064
"100",341711
