"","x"
"1",203622
"2",499399
"3",715597
"4",-774660
"5",-369538
"6",720412
"7",-134225
"8",872347
"9",-503917
"10",-317473
"11",672284
"12",-473792
"13",-430418
"14",906741
"15",-503405
"16",-896074
"17",482207
"18",159669
"19",990659
"20",297053
"21",665265
"22",748737
"23",-642885
"24",103525
"25",943181
"26",888230
"27",-302604
"28",-366299
"29",859865
"30",-960589
"31",-661772
"32",647993
"33",296112
"34",384228
"35",-684368
"36",64509
"37",-621643
"38",-737424
"39",182767
"40",-628083
"41",542757
"42",-912482
"43",-993800
"44",-651597
"45",78901
"46",29262
"47",-555772
"48",-711057
"49",-509414
"50",84845
"51",875272
"52",-632745
"53",237676
"54",337746
"55",251571
"56",855292
"57",844638
"58",-406035
"59",-408515
"60",66868
"61",-836965
"62",170163
"63",-477422
"64",204857
"65",276607
"66",-586271
"67",927443
"68",574298
"69",546637
"70",738776
"71",36956
"72",104483
"73",-167210
"74",-349786
"75",-894846
"76",-946861
"77",-768702
"78",762330
"79",-249700
"80",-152429
"81",-604898
"82",-897693
"83",559845
"84",-7840
"85",471018
"86",119133
"87",504827
"88",405958
"89",-777730
"90",-926356
"91",141191
"92",967947
"93",-797742
"94",879276
"95",-209661
"96",565042
"97",-836672
"98",-961005
"99",666888
"100",881153
