"","x"
"1",-382327
"2",-173053
"3",-675472
"4",414880
"5",538305
"6",31804
"7",283512
"8",-787736
"9",-514738
"10",-819345
"11",-736676
"12",600957
"13",422957
"14",811468
"15",-145977
"16",-254259
"17",645555
"18",-774024
"19",305132
"20",580416
"21",-845645
"22",152792
"23",-181805
"24",-606105
"25",242992
"26",-497404
"27",29072
"28",-811560
"29",-498981
"30",-484914
"31",84057
"32",-653749
"33",891
"34",706175
"35",-830874
"36",656279
"37",-273513
"38",674725
"39",562175
"40",-8613
"41",505029
"42",-211728
"43",-273673
"44",-719288
"45",-819813
"46",597053
"47",734495
"48",480432
"49",-531233
"50",870423
"51",-256723
"52",-871369
"53",-271237
"54",-937962
"55",351486
"56",-951983
"57",600067
"58",-364943
"59",167889
"60",368837
"61",-27968
"62",-813457
"63",831623
"64",-483550
"65",485629
"66",814645
"67",-626543
"68",183771
"69",-66053
"70",-460499
"71",715114
"72",339780
"73",-70080
"74",246621
"75",-46697
"76",980880
"77",227861
"78",325213
"79",710246
"80",-433033
"81",136346
"82",656349
"83",600334
"84",-60953
"85",63042
"86",-975616
"87",493824
"88",-207044
"89",-692845
"90",823325
"91",-435317
"92",651713
"93",51874
"94",-616510
"95",21691
"96",858797
"97",-891870
"98",112696
"99",-166808
"100",496465
