"","x"
"1",-971508
"2",-638074
"3",-747503
"4",-320223
"5",-956904
"6",169182
"7",588241
"8",322141
"9",-773536
"10",-480460
"11",108497
"12",699310
"13",853980
"14",-834313
"15",-750472
"16",597776
"17",-776262
"18",-324243
"19",-448438
"20",198178
"21",-187191
"22",-29521
"23",122363
"24",124330
"25",-698154
"26",-753346
"27",677279
"28",338889
"29",316044
"30",-980834
"31",-271748
"32",-574328
"33",941307
"34",413975
"35",-119069
"36",-148224
"37",-863187
"38",148837
"39",-927067
"40",488750
"41",-558147
"42",114815
"43",647301
"44",110814
"45",-14627
"46",93157
"47",-846413
"48",1816
"49",-2538
"50",-867720
"51",-911409
"52",-336880
"53",482788
"54",-272767
"55",440646
"56",93230
"57",854197
"58",-61410
"59",-85922
"60",-400024
"61",247134
"62",159664
"63",700591
"64",-820469
"65",168127
"66",-25717
"67",710007
"68",207839
"69",-905361
"70",-669881
"71",399718
"72",-675277
"73",-574684
"74",-288359
"75",465138
"76",570423
"77",-729837
"78",-317131
"79",874154
"80",-967973
"81",-766539
"82",143523
"83",-24920
"84",389689
"85",-233329
"86",372021
"87",-56251
"88",-352783
"89",-925409
"90",834491
"91",654592
"92",786525
"93",-463811
"94",908043
"95",-179106
"96",772530
"97",749881
"98",-218361
"99",85496
"100",-808651
