"","x"
"1",784724
"2",268238
"3",853345
"4",930553
"5",-805272
"6",105794
"7",-231855
"8",486276
"9",770443
"10",-202809
"11",32334
"12",486982
"13",397232
"14",-295082
"15",-131201
"16",977830
"17",504333
"18",361602
"19",-264252
"20",945099
"21",351689
"22",-180334
"23",718782
"24",575379
"25",927104
"26",195692
"27",-834895
"28",-822730
"29",437679
"30",190996
"31",-35765
"32",917846
"33",-612536
"34",-990492
"35",-721862
"36",-751874
"37",-656142
"38",-884118
"39",-53686
"40",-932757
"41",-683262
"42",837969
"43",-996606
"44",-669764
"45",-282415
"46",932374
"47",113501
"48",-990444
"49",107858
"50",345062
"51",258426
"52",-996607
"53",-540446
"54",208346
"55",721820
"56",-707226
"57",962732
"58",-35775
"59",229414
"60",788979
"61",-601815
"62",-713512
"63",165842
"64",-859163
"65",-264571
"66",-838142
"67",-487007
"68",-150925
"69",702678
"70",521684
"71",312200
"72",-762692
"73",-709570
"74",798830
"75",-750741
"76",-668628
"77",-779860
"78",-915450
"79",966847
"80",-18793
"81",540405
"82",37596
"83",1836
"84",402539
"85",-375415
"86",-167329
"87",-739711
"88",-189022
"89",-297509
"90",-694231
"91",-872964
"92",-519705
"93",751521
"94",-103658
"95",137368
"96",-128887
"97",-268908
"98",-516508
"99",829955
"100",779764
