"","x"
"1",23383
"2",-683336
"3",-684210
"4",-813879
"5",349266
"6",994861
"7",-327209
"8",888233
"9",300852
"10",909262
"11",-36329
"12",-640050
"13",-246012
"14",-305299
"15",-566685
"16",636664
"17",421952
"18",-192408
"19",-597588
"20",797538
"21",-708067
"22",-981904
"23",942395
"24",-780610
"25",-920997
"26",-314937
"27",-597724
"28",-617943
"29",-594788
"30",589840
"31",-757651
"32",-163722
"33",-48767
"34",-196636
"35",-5309
"36",-482314
"37",833118
"38",450423
"39",-315971
"40",-834228
"41",751137
"42",453122
"43",-482433
"44",452406
"45",-543660
"46",438526
"47",488478
"48",-230097
"49",-535361
"50",455552
"51",-50451
"52",215762
"53",-624678
"54",527443
"55",-556057
"56",33756
"57",-42863
"58",-154692
"59",-895872
"60",-794715
"61",700484
"62",460003
"63",-71353
"64",381816
"65",612484
"66",822828
"67",215066
"68",-347220
"69",-519837
"70",972545
"71",-575151
"72",-846881
"73",-167975
"74",129225
"75",35956
"76",-445099
"77",-785856
"78",686622
"79",-806314
"80",-779023
"81",-887978
"82",446944
"83",-572799
"84",38953
"85",-6155
"86",257371
"87",171534
"88",967047
"89",963318
"90",-869741
"91",-225227
"92",894586
"93",265772
"94",-506112
"95",638768
"96",-203318
"97",439473
"98",-347924
"99",966212
"100",153107
