"","x"
"1",-84610
"2",-870371
"3",754623
"4",-38798
"5",589153
"6",325669
"7",-530971
"8",-286361
"9",335793
"10",429709
"11",-75281
"12",920003
"13",-853262
"14",-239493
"15",-994695
"16",105177
"17",569002
"18",-748992
"19",-124833
"20",-891364
"21",-815478
"22",420590
"23",-563572
"24",-339084
"25",596478
"26",-524058
"27",541014
"28",-923790
"29",952688
"30",-553056
"31",648288
"32",696201
"33",968061
"34",654206
"35",153995
"36",-334507
"37",-740196
"38",-515553
"39",-911097
"40",-893199
"41",619268
"42",232140
"43",636611
"44",-222401
"45",557395
"46",404246
"47",-742199
"48",-1465
"49",84421
"50",-773749
"51",-851812
"52",-902067
"53",176510
"54",303786
"55",-343357
"56",-927587
"57",-48648
"58",822528
"59",105792
"60",945642
"61",-332532
"62",-498643
"63",-169234
"64",354692
"65",-486041
"66",788415
"67",-90329
"68",701971
"69",-971803
"70",726333
"71",231799
"72",-701949
"73",-541488
"74",-222480
"75",75359
"76",-858376
"77",583390
"78",416415
"79",-418516
"80",-617459
"81",949338
"82",620254
"83",-686171
"84",916795
"85",639720
"86",599760
"87",782529
"88",712089
"89",469562
"90",-779651
"91",508230
"92",101811
"93",-224087
"94",259658
"95",-397145
"96",-159248
"97",796074
"98",341052
"99",562977
"100",-317740
