"","x"
"1",-210718
"2",-389781
"3",780906
"4",-820011
"5",-217338
"6",-333661
"7",-642185
"8",-666317
"9",-495082
"10",-446421
"11",223993
"12",126741
"13",-544959
"14",491973
"15",525581
"16",982206
"17",-791051
"18",-805403
"19",531915
"20",530408
"21",141678
"22",692648
"23",-145501
"24",-286870
"25",187637
"26",211103
"27",-534011
"28",-413140
"29",176114
"30",296215
"31",112154
"32",877325
"33",444997
"34",-217146
"35",65275
"36",411050
"37",736553
"38",813729
"39",288074
"40",436854
"41",965004
"42",-968832
"43",-583247
"44",-991095
"45",-810377
"46",449388
"47",471165
"48",391467
"49",-557277
"50",-426226
"51",318506
"52",619061
"53",800496
"54",185356
"55",-991645
"56",574819
"57",-762193
"58",-647548
"59",364473
"60",-26759
"61",658704
"62",934162
"63",-228222
"64",569433
"65",-929983
"66",701199
"67",-244362
"68",314131
"69",-977440
"70",-346418
"71",581381
"72",574319
"73",-787762
"74",-931001
"75",923639
"76",-555300
"77",741930
"78",35233
"79",220065
"80",-327429
"81",-358059
"82",-668391
"83",686319
"84",628033
"85",447417
"86",341631
"87",-90837
"88",270104
"89",676719
"90",199167
"91",576707
"92",571425
"93",-830043
"94",524430
"95",844213
"96",607629
"97",-389748
"98",-29333
"99",571752
"100",-383311
