"","x"
"1",199113
"2",-802970
"3",253891
"4",-255958
"5",-976369
"6",-735288
"7",870161
"8",-542597
"9",-641338
"10",-653845
"11",-557152
"12",-841014
"13",127120
"14",-86410
"15",-390728
"16",782099
"17",52331
"18",-165374
"19",710733
"20",-613084
"21",-45051
"22",-667771
"23",991064
"24",-307355
"25",-660921
"26",604128
"27",593460
"28",-896452
"29",587992
"30",-34013
"31",-749891
"32",-269133
"33",54210
"34",814063
"35",-415416
"36",-335771
"37",149544
"38",10316
"39",-864795
"40",-305042
"41",-963700
"42",-137582
"43",-561110
"44",-947480
"45",502258
"46",852614
"47",618767
"48",-517785
"49",574530
"50",-416101
"51",-992531
"52",894907
"53",-524475
"54",-561702
"55",-598302
"56",483314
"57",-980224
"58",781391
"59",-105250
"60",-780812
"61",-941511
"62",-213043
"63",803595
"64",-677877
"65",986212
"66",-573670
"67",70132
"68",436823
"69",-991417
"70",633648
"71",-17843
"72",415037
"73",-821834
"74",-796971
"75",-752667
"76",833058
"77",-225234
"78",-477733
"79",200674
"80",730361
"81",-722342
"82",-631518
"83",-464692
"84",977182
"85",-445139
"86",-990384
"87",430098
"88",-143147
"89",370628
"90",262726
"91",614321
"92",-354428
"93",-302152
"94",-546619
"95",546214
"96",687968
"97",-33594
"98",-799499
"99",-909211
"100",105348
