"","x"
"1",-509617
"2",-530806
"3",985838
"4",-618266
"5",599259
"6",-894760
"7",-62558
"8",-219005
"9",-792312
"10",-701683
"11",-24670
"12",-376872
"13",-365313
"14",-830683
"15",345186
"16",-987635
"17",767319
"18",369998
"19",149143
"20",-535398
"21",-109082
"22",-332708
"23",279487
"24",-409938
"25",592994
"26",362429
"27",-368794
"28",-533710
"29",-173085
"30",-581961
"31",-541118
"32",373641
"33",991133
"34",-115957
"35",-45923
"36",-916330
"37",-949393
"38",507035
"39",-48906
"40",323157
"41",-883300
"42",933859
"43",724455
"44",692035
"45",-290322
"46",524396
"47",-219689
"48",408596
"49",900831
"50",-423201
"51",-118047
"52",121481
"53",-558686
"54",-20676
"55",704370
"56",985484
"57",-366234
"58",-104387
"59",-578406
"60",-71219
"61",-95028
"62",481465
"63",940085
"64",205415
"65",-357564
"66",765627
"67",-115773
"68",-218530
"69",-618600
"70",-977813
"71",947473
"72",-137301
"73",513561
"74",9748
"75",-714675
"76",-552036
"77",721664
"78",46892
"79",493890
"80",136074
"81",451661
"82",-336573
"83",-848054
"84",492190
"85",278356
"86",139113
"87",294890
"88",-619841
"89",-996248
"90",-886489
"91",-70457
"92",486027
"93",-31039
"94",973512
"95",-261702
"96",499053
"97",783120
"98",-379146
"99",393942
"100",-671691
