"","x"
"1",515736
"2",-162482
"3",-507763
"4",507627
"5",-601998
"6",127966
"7",-644590
"8",-30007
"9",175594
"10",531505
"11",105315
"12",-35106
"13",224322
"14",783667
"15",-884647
"16",-696350
"17",-16774
"18",272783
"19",-404467
"20",-690360
"21",-825901
"22",209511
"23",723522
"24",-622433
"25",-104564
"26",-501243
"27",-752306
"28",794821
"29",-819500
"30",890781
"31",-113691
"32",958687
"33",-869484
"34",-22298
"35",-203687
"36",533462
"37",-7386
"38",23437
"39",-997076
"40",176563
"41",372514
"42",-512613
"43",962693
"44",164567
"45",863826
"46",126278
"47",941439
"48",-983077
"49",262220
"50",620642
"51",737460
"52",-775212
"53",296138
"54",916748
"55",692388
"56",554061
"57",-733133
"58",402175
"59",-268031
"60",-322560
"61",-522262
"62",-606611
"63",-275043
"64",-936177
"65",948304
"66",-287813
"67",555362
"68",-661243
"69",927643
"70",-42855
"71",279544
"72",214763
"73",-816232
"74",-253692
"75",78747
"76",-739580
"77",-737329
"78",-971001
"79",566203
"80",769230
"81",-878630
"82",175474
"83",861461
"84",361125
"85",-906617
"86",826685
"87",-852980
"88",-397936
"89",997953
"90",-242935
"91",776998
"92",-643786
"93",-426061
"94",826096
"95",362517
"96",-96321
"97",569895
"98",-499500
"99",-92601
"100",298998
