"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"16","Trait40","mrMLM","NsiI.TP613724"," 1","72976871"," 0.4001","6.259","7.101"," 9.867","0.2828","C","0.1931","0.8574"
"16","Trait40","mrMLM","NsiI.TP672241"," 6","51315716","-0.4088","3.885","4.630"," 2.144","0.1066","C","",""
"16","Trait40","mrMLM","GFSSContig19372_585"," 8"," 3609225"," 0.3557","5.884","6.713"," 7.601","0.4795","T","",""
"16","Trait40","mrMLM","PstI.TP1142498"," 8","53214814","-0.3346","5.080","5.880"," 6.092","0.3320","C","",""
"16","Trait40","mrMLM","PstI.TP9117"," 9","53093415"," 1.6800","8.428","9.331","41.880","0.0164","C","",""
"16","Trait40","mrMLM","PstI.TP386698","10"," 5216216","-0.3798","4.446","5.219"," 2.425","0.0861","A","",""
"16","Trait40","mrMLM","PstI.TP271541","10","56172761","-0.4639","5.662","6.484"," 8.432","0.0779","C","",""
"16","Trait40","mrMLM","NsiI.TP248198","11","   11925"," 0.9656","4.658","5.440"," 8.108","0.0328","C","",""
"16","Trait40","FASTmrMLM","PstI.TP473065","1","14979768","0.2236","3.3764","4.0946","3.0257","0.3065","C","0.2225","0.8574"
"16","Trait40","FASTmrMLM","NsiI.TP369163","1","55813566","-0.2211","4.7158","5.5002","2.6983","0.1895","C","",""
"16","Trait40","FASTmrMLM","NsiI.TP613724","1","72976871","0.3822","7.984","8.8756","15.0843","0.2782","C","",""
"16","Trait40","FASTmrMLM","PstI.TP946695","1","78239497","0.1991","3.9439","4.6927","3.2317","0.2944","A","",""
"16","Trait40","FASTmrMLM","PstI.TP679941","3","15834789","0.2948","3.6239","4.356","0","0.1129","A","",""
"16","Trait40","FASTmrMLM","NsiI.TP672241","6","51315716","-0.4317","5.9074","6.7373","4.0027","0.1129","C","",""
"16","Trait40","FASTmrMLM","PstI.TP302137","11","2387","0.2929","4.3867","5.1566","3.2365","0.2258","A","",""
"16","Trait40","FASTmrMLM","PstI.TP1183807","11","8355","-0.2366","4.8433","5.633","2.9346","0.1815","C","",""
"16","Trait40","FASTmrMLM","NsiI.TP59023","11","9822","-0.4491","10.0624","11.002","10.575","0.1734","A","",""
"16","Trait40","FASTmrMLM","NsiI.TP753835","11","18371","0.3815","8.8104","9.7224","16.1088","0.375","A","",""
"16","Trait40","pLARmEB","NsiI.TP410402","1","58640538","-0.2773","3.0304","3.7276","5.6204","0.1976","C","0.3293","0.8574"
"16","Trait40","pLARmEB","NsiI.TP613724","1","72976871","0.4664","7.942","8.8325","14.0761","0.2782","C","",""
"16","Trait40","pLARmEB","PstI.TP201747","2","16880214","0.3635","6.3601","7.205","6.4002","0.3871","C","",""
"16","Trait40","pLARmEB","GFSSContig20368_1202","4","8831180","0.2911","4.9846","5.7801","3.0749","0.2863","C","",""
"16","Trait40","pLARmEB","NsiI.TP73117","10","18049336","0.4229","3.6939","4.4297","1.6324","0.0565","C","",""
"16","Trait40","pLARmEB","NsiI.TP257838","11","12019","0.3686","4.03","4.783","1.537","0.0927","C","",""
"16","Trait40","ISIS EM-BLASSO","PstI.TP94792","1","731905","-0.2233","3.6451","4.3783","4.5419","0.3065","C","0.2793","0.8574"
"16","Trait40","ISIS EM-BLASSO","NsiI.TP613724","1","72976871","0.4849","8.7724","9.6835","24.2758","0.2782","C","",""
"16","Trait40","ISIS EM-BLASSO","PstI.TP201747","2","16880214","0.2765","3.7239","4.4613","5.9114","0.3871","C","",""
"16","Trait40","ISIS EM-BLASSO","PstI.TP570804","4","4364673","-0.4388","3.7178","4.4549","1.4257","0.3468","C","",""
"16","Trait40","ISIS EM-BLASSO","NsiI.TP672241","6","51315716","-0.5078","6.6518","7.5059","5.5398","0.1129","C","",""
"16","Trait40","ISIS EM-BLASSO","NsiI.TP783009","11","18766","-0.2513","4.0933","4.8494","6.8114","0.1371","A","",""
