"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"17","Trait41","mrMLM","PstI.TP47447","1","12743038"," 0.5969","3.935","4.683","23.42","0.1311","A","0.4114","1.5072"
"17","Trait41","mrMLM","NsiI.TP571832","2","63804104"," 0.4794","3.491","4.216","14.77","0.2418","G","",""
"17","Trait41","mrMLM","PstI.TP773172","3","55061314"," 0.4955","3.961","4.711"," 6.93","0.1475","A","",""
"17","Trait41","mrMLM","PstI.TP723544","9"," 1942972","-0.7087","7.513","8.392","12.51","0.1270","A","",""
"17","Trait41","FASTmrMLM","PstI.TP882936","1","5999154","0.2832","3.4244","4.1454","4.9211","0.246","C","0.4761","1.5072"
"17","Trait41","FASTmrMLM","NsiI.TP128897","6","56190559","-0.468","3.7338","4.4718","5.0801","0.4556","C","",""
"17","Trait41","FASTmrMLM","PstI.TP723544","9","1942972","-0.5087","4.264","5.0283","6.4457","0.125","A","",""
"17","Trait41","FASTmrMLM","PstI.TP58484","11","490","0.6164","6.0678","6.9031","4.6424","0.1008","C","",""
"17","Trait41","pLARmEB","PstI.TP882936","1","5999154","0.2613","3.0074","3.7031","4.1906","0.246","C","0.4885","1.5072"
"17","Trait41","pLARmEB","PstI.TP773172","3","55061314","0.326","3.4443","4.1664","2.9986","0.1452","A","",""
"17","Trait41","pLARmEB","PstI.TP723544","9","1942972","-0.6039","6.1758","7.0147","9.0821","0.125","A","",""
"17","Trait41","pLARmEB","PstI.TP58484","11","490","0.4555","3.5348","4.262","2.5352","0.1008","C","",""
"17","Trait41","ISIS EM-BLASSO","PstI.TP882936","1","5999154","0.3082","4.6362","5.4172","5.8285","0.246","C","0.3446","1.5072"
"17","Trait41","ISIS EM-BLASSO","PstI.TP47447","1","12743038","0.4073","5.0653","5.864","10.9014","0.129","A","",""
"17","Trait41","ISIS EM-BLASSO","PstI.TP384804","2","65029446","-0.3548","4.7439","5.5295","6.6491","0.4234","C","",""
"17","Trait41","ISIS EM-BLASSO","PstI.TP773172","3","55061314","0.392","4.2862","5.0515","4.3365","0.1452","A","",""
"17","Trait41","ISIS EM-BLASSO","PstI.TP723544","9","1942972","-0.5906","7.047","7.9129","8.6883","0.125","A","",""
"17","Trait41","ISIS EM-BLASSO","PstI.TP492299","11","3739","0.7501","5.1123","5.9129","1.1946","0.0605","G","",""
