,Taxa,CmDW_g,Cml_cm,CmD_BI_mm,CmD_LI_mm,CmN.,Bcirc_cm,SDW_kg,CCirc_cm,mc,Yld_1,Yld,AIL,CmDW.V
38,PI230189-US56-0022-03,1.994607856,47.76588272,0.990796643,0.852832964,1.690373019,3.359127427,1.221018394,1.330226236,0.054825228,2.327271485,2.765967344,-1.200945056,2.689427675
39,PI294602-US64-0004-02,1.795304377,25.18459281,0.711462887,0.746097259,1.257457916,6.298170999,1.207708403,1.619916094,0.053985374,2.701597051,3.210854113,-1.334263384,2.493834412
40,PI294605-US64-0007-01,-0.149908539,-34.0985921,-0.022767595,-0.107443111,-0.105168229,-3.421520408,-0.570843703,-0.513489277,-0.027603746,-0.899398777,-1.06893745,-1.326322834,0.550103567
41,PI295762,2.27138623,35.72484112,0.910035254,0.460993457,1.483090007,9.489534469,1.233322377,2.617126781,0.056087914,3.99267174,4.745299256,-1.41800662,2.829682136
42,PI295764-Gracillimus,1.847066573,49.89162393,1.065008712,0.880706121,0.972479692,5.675712592,1.212238394,1.687313903,0.053164672,2.693521984,3.201256877,-0.241626885,2.586328849
43,PI302423-US64-0016-03,1.178297024,13.28262866,0.729418223,0.477621995,0.646187659,7.781579271,1.2028553,1.066668172,0.037685008,2.599298731,3.089272332,-0.784142591,1.938680454
44,PI417947-NG77-022,.,.,.,.,.,.,.,.,.,.,.,.,.
45,PI423566-M75-062,0.63019309,-0.083105737,0.165361855,0.175016612,0.653965671,4.645252009,1.297475485,1.407632737,0.047461334,2.281918966,2.712065774,-1.098524086,0.826964043
46,PMS-007,.,.,.,.,.,.,.,.,.,.,.,.,.
47,PMS-009,0.394466129,16.46766391,0.243662075,0.325400375,-0.34312327,3.154369121,1.117329943,0.763134603,0.033454026,1.55178978,1.84430561,1.524387087,0.60560166
48,PMS-014,1.750999016,70.62290422,0.685142132,0.780137829,0.266593302,3.10801073,1.430346515,1.239133019,0.018923954,2.544472279,3.024110971,1.864397474,1.803868722
49,PMS-023,1.689234509,48.88760001,0.479316345,0.828294629,0.731228445,1.981746649,1.230678936,1.38490775,0.058145762,2.349645932,2.792559424,0.118927418,1.897194069
50,PMS-038,1.341475112,26.35757497,0.380932162,0.775084421,0.648854235,4.130611,1.351693517,0.913060012,0.031883409,1.913975227,2.274763821,-0.343137283,1.664322043
51,PMS-067,1.757121805,56.01298751,0.443140205,0.676543955,0.60585098,2.735590746,1.289514505,1.291380573,0.048406749,2.328766074,2.767743666,0.567469782,1.789436739
52,PMS-071,-1.582668458,-46.66835787,-0.436381544,-0.826020024,0.550171097,2.345902907,-1.087720546,-1.475222008,-0.025765082,-1.885097937,-2.240443097,-2.49830785,-1.713223192
53,PMS-074,-0.422439146,-6.304721116,-0.04539865,-0.351448751,-0.182137063,-1.460321133,-0.770297112,-0.498920287,-0.007659057,-1.242492628,-1.476705256,0.075565814,-0.536098193
54,PMS-075,-0.799619518,-29.12854014,-0.155060059,-0.504022417,0.600217826,4.932564201,-0.460704198,-0.687359297,-0.011350883,-0.666863486,-0.792568738,-2.029840018,-0.817429537
55,PMS-076,-1.101369715,-33.84905046,-0.381412136,-0.612985843,1.034920032,1.896762182,-0.420393724,-0.939526016,0.005610684,-0.736452084,-0.875274942,-2.701642746,-1.313285416
56,PMS-087,0.823013663,30.72293916,0.100472095,0.512425195,0.372192769,2.847919351,0.814470967,-0.059460297,-0.024087134,1.102670408,1.310526237,0.344100219,0.801574564
57,PMS-088,0.938645257,23.59639287,0.479217047,0.497737994,-0.227294861,0.932804157,0.088599904,-0.00366102,-0.013331853,0.094193952,0.111949722,1.402492096,1.346253992
58,PMS-130,-0.4494454,3.81238202,-0.082995765,-0.308214122,-0.619467037,-3.062855087,-1.030770116,-1.522809391,-0.024844893,-1.668424761,-1.982926545,1.622615778,-0.683392119
59,PMS-131,-0.776759369,-26.45140686,-0.077531885,-0.329856049,-0.862274491,-5.521867912,-0.330594173,-0.370375527,0.007817912,-0.45539932,-0.541243106,0.932316438,-0.672559083
60,PMS-134,0.001427936,21.42890431,-0.123857179,-0.031621946,-0.394027852,0.726497523,-0.283465612,-0.457506495,0.009050837,-0.545837592,-0.648729193,1.778883589,-0.269994152
61,PMS-144,-0.0930775,7.2766312,-0.218558479,-0.08582997,-0.157789093,0.671854033,0.016768168,0.123551629,-0.033583502,0.03062323,0.036395777,0.605944541,-0.438657153
62,PMS-159,0.337471217,25.32730771,0.114221471,0.394671884,-0.329257952,-0.129399415,-0.238517632,-0.342122577,-0.051673385,-0.342862594,-0.407492956,1.773051501,0.393316959
63,PMS-161,1.356101443,34.49064217,0.51792158,0.731308751,0.235614623,1.958187013,0.669758669,0.498760368,-0.001985103,0.933581043,1.109563149,0.687017245,1.733491058
64,PMS-164,0.601174118,20.32146875,0.200026226,0.242050687,0.556978863,0.481157062,0.481250807,0.32290869,-0.015440514,0.657312544,0.781217423,-0.382564305,0.666453909
65,PMS-178,0.259473333,-10.04358854,-0.00070498,0.372362446,0.134736062,0.919378632,0.04906304,-0.212609038,-0.035907308,0.104299684,0.123960406,-0.608367905,0.51615457
66,PMS-183,1.140863008,39.85280256,0.308177923,0.645144949,0.336154864,1.516870364,0.979324438,0.710271504,-0.020926463,1.469031122,1.745946761,0.656825458,1.257132523
67,PMS-204,1.407639568,40.29568466,0.399652408,0.703533385,0.561961884,2.053056616,1.452018837,1.225435627,-0.020311281,2.159046092,2.56603109,0.19671831,1.605590758
68,PMS-226,1.260319919,29.27912784,0.217559557,0.566570481,0.879120556,1.530601688,1.315434215,1.251787674,0.0429626,2.362042777,2.807293102,-0.643814437,1.307931545
69,PMS-227,0.572312166,19.3408304,0.199793143,0.351725219,0.542534777,3.738273688,0.662491724,0.548350653,0.063028845,0.980520247,1.165350498,-0.341239221,0.690093651
70,PMS-272,-0.228516444,-5.703853382,0.017303616,-0.115377517,-0.273728852,-4.067426381,-0.604148317,-0.370375527,0.022090132,-0.907751733,-1.078864956,0.405482473,-0.197013557
71,PMS-285,0.636736228,17.42541284,0.056784979,0.15586391,0.424961445,2.568342478,0.644797649,0.076896339,-0.029387471,0.851450009,1.011950233,-0.245827485,0.528193844
72,PMS-293,1.935936883,49.99784258,0.626096067,0.937104122,0.900320696,4.285935759,1.52642161,1.443416776,-0.000954437,2.705372611,3.215341374,-0.179805397,2.299194667
73,PMS-300,0.425208433,15.38184567,0.0113661,-0.105463655,0.881878383,5.092458311,1.305950686,1.067570363,-0.025969182,1.77997165,2.115500271,-1.10672698,0.224130201
74,PMS-303,1.532688887,45.49207878,0.39666346,0.668879558,0.314054338,2.232330852,1.50841232,1.147753382,-0.014233275,2.12817509,2.529340835,0.918211968,1.609993738
75,PMS-306,1.041080873,16.57077757,0.110344531,0.405434876,0.319279104,2.039549364,1.576431001,1.167389028,-0.025765415,2.523845211,2.999595655,-0.04520234,1.045914914
76,PMS-314,1.73281562,55.46553349,0.529995789,1.024013022,0.814472701,4.068577911,1.439367445,0.885071357,-0.001447957,2.17794417,2.588491497,0.147084521,2.020454743
77,PMS-339,.,.,.,.,.,.,.,.,.,.,.,.,.
78,PMS-347,0.402854538,13.00595561,-0.12557865,0.014491069,0.55112343,1.61261431,1.344631502,1.017853549,0.009936403,1.971465823,2.343091522,-0.563260031,0.09966676
79,PMS-351,.,.,.,.,.,.,.,.,.,.,.,.,.
80,PMS-359,-0.15369356,12.24777961,-0.234560771,-0.320567575,0.245166425,3.830531398,-0.051724688,-0.684425966,0.015687866,-0.117660047,-0.139839227,0.015376014,-0.670800357
81,PMS-375,0.064189945,-22.22025385,-0.111775411,0.043322904,0.452137064,-1.668291079,0.40296198,0.26977606,0.01542541,0.56178583,0.66768371,-1.353449553,0.188621047
82,PMS-381,1.118851204,0.261425348,0.754769518,0.247063567,0.56367021,7.695904421,1.232721995,1.16532587,0.0336772,2.192150738,2.605376035,-0.938603696,1.995016485
83,PMS-382,0.789584523,-5.939565854,0.678944012,0.115607306,0.531331537,4.845892562,0.973276865,0.996221914,0.02082692,1.606260243,1.909043877,-1.19193354,1.660587521
84,PMS-397,1.343270041,50.62827421,0.600483104,0.651368468,1.298566379,1.701278314,1.104872615,1.199759821,0.047280303,2.44982089,2.911617585,-0.757151355,1.658519671
85,PMS-425,0.937945094,21.9635554,0.096923689,0.531807016,0.28351964,1.313768209,1.034347642,1.139975314,-0.021216484,1.71116016,2.033717662,0.242575762,0.954885366
86,PMS-436,-1.692368245,-66.32094282,-0.663770118,-0.788585588,-1.224324746,-1.060161151,-1.215265527,.,0.010291881,-2.073117015,-2.46390419,-1.248552582,-1.712355022
87,PMS-438,-1.586747267,-35.07363804,-0.675895465,-0.635204401,-1.332780003,-0.559023212,-1.183421998,-1.594438778,-0.028254416,-1.963299331,-2.333385628,1.618667912,-2.17993759
88,UI10-00008-Hortico,-0.135633785,-26.79891955,0.009491767,0.189500803,-0.492787854,-2.471036079,-0.157935812,0.010024085,-0.011718595,-0.198384913,-0.235780911,-0.419682454,0.548532633
89,UI10-00012-Cabaret,0.277077807,-3.651691423,0.156628794,0.298964604,0.318879273,0.622985704,0.213360133,0.045463481,-0.010385101,0.224752216,0.267118509,-0.814986021,0.601027225
90,UI10-00015-Cosmopolitan,1.023634427,1.146488307,0.510849935,0.757906725,-0.005107724,1.600735866,0.117224325,-0.122598704,0.034352457,0.172248908,0.204718211,0.117051796,1.760692803
91,UI10-00017-condensatus,0.116579921,0.230825255,0.014606562,0.086354417,-0.052117589,1.055260533,-0.17296454,-0.291564668,0.001237429,-0.494260797,-0.587430058,0.03515018,0.196945376
92,UI10-00019-purpurascens,.,.,.,.,.,.,.,.,.,.,.,.,.
93,UI10-00020-Adagio,-1.444933179,-42.57589451,-0.68720207,-0.676121084,-1.135648691,-1.523310791,-1.039735855,-2.212015396,0.013789241,-1.738998227,-2.066803267,0.072402424,-1.902623876
94,UI10-00021-Allegro,-0.516117667,-7.841102514,-0.247327032,-0.238790074,-0.375175269,-0.163720375,0.185351452,0.216295893,-0.046751191,0.204925005,0.243553825,0.48375902,-0.77680245
95,UI10-00022-Altweibersommer,0.261421674,44.31216754,0.143505976,-0.3424802,0.587938684,3.583663646,0.854243623,0.785535884,-0.017349443,1.146210263,1.362273451,0.297798922,-0.108037908
96,UI10-00023-Andante,0.030876105,4.35895116,0.011136113,-0.126321185,-0.353179891,-1.257895468,-0.74891396,-0.663383073,-0.045666496,-1.226369814,-1.457543255,0.960816236,-0.066517412
97,UI10-00024-Arabesque,-0.479621385,-4.50774572,-0.21993147,-0.312980274,-0.586916076,0.663627679,-0.211456155,-0.472035539,-0.022961373,-0.290304828,-0.345027934,1.175421667,-0.788339179
98,UI10-00025-Autumn-Light,-0.435542926,-12.19747177,-0.362656011,-0.222226577,-0.347544265,-1.858098442,-0.289343077,-0.606122355,-0.018316602,-0.632551144,-0.751788444,0.247541708,-0.783878429
99,UI10-00026-Ben-Graz,-0.841216038,-10.09365713,-0.255446061,-0.431249402,-0.513479069,-3.425807442,-0.935329317,-1.160022837,-0.027407302,-1.517267245,-1.803275501,0.819162034,-1.166915007
100,UI10-00027-Ben-Rotkopf,0.823498131,2.053005451,0.298077954,0.268590656,0.285483311,-2.27204731,0.391105242,0.480256847,-0.015677561,0.515883659,0.613128878,-0.389463791,1.159663229
101,UI10-00028-Berlin,-0.737795467,-18.50814557,-0.246104319,-0.178272876,-0.031632475,-3.573685141,-0.421849757,0.272725716,0.005881984,-0.709154762,-0.842832014,-0.659688282,-0.849400564
102,UI10-00029-Bitsy-Ben,-1.350395262,-25.40017527,-0.687262335,-0.822714643,-0.208630663,-4.96188635,-1.015403615,-0.806357469,0.004055075,-1.647695168,-1.958289377,-0.539621138,-2.326092378
103,UI10-00030-Blondo,-0.174774364,11.87737,-0.153099741,-0.246617021,0.046029698,0.409595702,0.402966746,0.284778877,-0.020180424,0.511871865,0.608360852,0.344726483,-0.556771185
104,UI10-00031-Bluetenwunder,-1.830120784,-60.4981669,-0.514313782,-0.649177916,-0.711147122,-2.233809242,-0.746423876,-0.398368849,-0.005889634,-1.133687421,-1.347390025,-1.504862028,-1.819967931
105,UI10-00032-Bodacious-Ben,0.703991537,26.24369729,0.247168916,0.162240393,0.022802808,2.241804724,0.81051601,0.521511587,-0.013877229,1.09344706,1.299564266,0.907368799,0.715906565
106,UI10-00033-Border-Bandit,-0.812486388,-26.39734926,-0.355195859,-0.845105315,-0.040623751,-0.890693418,-1.062060276,.,0.017426607,-1.847276345,-2.195492051,-0.786090982,-1.333014771
107,UI10-00035-Burgander,.,.,.,.,.,.,.,.,.,.,.,.,.
108,UI10-00036-Dixieland,-1.185786557,-17.56748684,-0.599395381,-0.767728122,-0.427033456,-1.863125897,-0.581193673,-0.198172624,-0.021161339,-1.001968445,-1.190841729,-0.250034211,-1.881739247
109,UI10-00038-Emerald-Shadow,1.043485886,11.98069489,0.512876482,0.591904256,0.485986695,0.006593004,0.509324513,0.374646713,0.022025513,0.81101524,0.963893419,-0.505058347,1.616712932
110,UI10-00039-Emmanuel-LePage,-0.671062632,-22.73867329,-0.213842472,-0.124191802,-0.148605925,-0.03884187,-0.545388947,-0.617409756,-0.006156481,-0.801399891,-0.952465555,-0.665880729,-0.657027209
111,UI10-00040-Ferner-Osten,.,.,.,.,.,.,.,.,.,.,.,.,.
112,UI10-00042-Giraffe,-1.112138492,-24.17768673,-0.375028024,-0.356224492,-0.151658962,-0.707317617,-0.790233375,-0.851323287,8.04E-05,-1.231614365,-1.463776416,-0.71409284,-1.365384416
113,UI10-00043-Gold-and-Silver,-0.971505548,-22.53500936,-0.434124615,-0.502538687,-1.143902293,-2.540100205,-0.942741595,-1.23465168,0.017418614,-1.502551318,-1.785785589,2.104814221,-1.402471071
114,UI10-00044-Gold-Bar,.,.,.,.,.,.,.,.,.,.,.,.,.
115,UI10-00045-Goldfeder,.,.,.,.,.,.,.,.,.,.,.,.,.
116,UI10-00047-Goliath,0.295925539,17.29439308,0.23846763,0.457482084,-0.144144049,2.752876907,0.46651943,0.399141422,-0.049624876,0.667181913,0.79294719,0.961274364,0.570792843
117,UI10-00048-Gracillimus,-0.137617067,-9.602788533,-0.116683703,-0.021622221,-0.310274706,-1.077160298,-0.023443981,-0.438760927,0.001421712,-0.017537849,-0.020843773,0.343998074,-0.180345326
118,UI10-00051-Gracillimus-Nana,-1.336714806,-37.15068248,-0.510394408,-0.611260368,-1.222836132,-4.236615479,-0.999892407,-1.088584127,0.013023381,-1.627400881,-1.934169572,1.389286621,-1.698296677
119,UI10-00052-Graziella,-2.002466764,-50.38815018,-0.985826428,-0.757689141,-0.517758238,-4.506513284,-1.269010103,-1.397136209,-0.045527903,-2.219299444,-2.637642333,-1.406654046,-2.791907622
120,UI10-00053-Grosse-Fontaine,0.091995085,16.18465645,0.28936657,0.075976045,-0.101728772,0.963337591,0.023564555,-0.079071289,0.004163284,0.039084896,0.046452485,0.852494917,0.203850796
121,UI10-00056-Huron-Blush,-1.530595096,-48.2144837,-0.368251646,-0.74283086,-0.629253895,-1.502568102,-1.091531156,-1.087393837,-0.018934537,-1.770542253,-2.104293411,-0.931405682,-1.614256845
122,UI10-00057-Huron-Sentinel,-1.703036414,-50.15630874,-0.668492077,-0.617881725,-0.391407907,-0.566739865,-1.153761948,-1.107105131,0.041638418,-1.891729554,-2.248324788,-1.33454616,-2.059387205
123,UI10-00058-Huron-Sunrise,.,.,.,.,.,.,.,.,.,.,.,.,.
124,UI10-00060-July,-0.044362557,10.63667842,0.154138167,0.103026837,-0.296567598,0.474251128,-0.147257322,-0.339207671,-0.004159925,-0.200397351,-0.238172698,1.189601149,0.082649829
125,UI10-00061-Kaskade,0.171650136,20.74677521,0.12193711,-0.003976886,-0.038682708,0.316859145,0.098940205,-0.095229762,-0.009929126,0.025435265,0.030229869,0.804150402,0.090514717
126,UI10-00062-Kirk-Alexander,-0.376898318,-31.43412287,-0.081211981,0.03935618,0.054730343,-1.718733097,-0.464319709,0.26977606,-0.032438662,-0.679313497,-0.807365605,-0.925028933,-0.036772727
127,UI10-00063-Kleine-Fontaine,-0.395762674,-14.21535004,0.034631818,-0.021050484,-0.611915339,-2.229743406,-0.47792426,-0.643866283,-0.008917987,-0.766582377,-0.911084863,0.756959517,-0.180616709
128,UI10-00064-Kleine-Silberspinne,-1.788480978,-52.85741257,-0.879947929,-0.626824501,-0.6245871,-3.194977107,-1.196789623,-1.461255313,-0.020652765,-2.007270478,-2.385645434,-1.43244786,-2.220727163
129,UI10-00065-Little-Kitten,.,.,.,.,.,.,.,.,.,.,.,.,.
130,UI10-00066-Little-Nickey,0.794100748,37.70343175,0.333946768,0.307727788,0.120401659,-0.827358497,1.042329317,0.729830081,0.018233421,1.460843136,1.736215322,0.998130034,0.889114338
131,UI10-00067-Little-Zebra,.,.,.,.,.,.,.,.,.,.,.,.,.
132,UI10-00070-Minuette,-0.189347701,-3.968445627,-0.179176438,-0.137756694,-0.024322999,-0.015600679,0.278425695,0.201629182,-0.013353583,0.286825849,0.34089316,-0.102220331,-0.403277808
133,UI10-00071-Morning-Light,1.000401043,32.52382902,0.527642121,0.539731523,0.027693477,-1.318756503,0.868211179,0.70726037,0.018181937,1.244660609,1.479281906,1.029651188,1.383769301
134,UI10-00072-Mt-Washington,-1.62706461,-52.0887732,-0.729586292,-0.671024393,-0.72859648,-4.536285959,-1.312171306,-1.226368625,0.029384479,-2.272215515,-2.7005332,-0.878444578,-2.035411741
135,UI10-00073-Mysterious-Maiden,-0.525244324,-10.08123416,-0.056138734,-0.308449391,0.117069671,-2.410284206,-0.755245915,.,0.013057736,-1.175871076,-1.397525393,-0.495128776,-0.574721181
136,UI10-00074-Nippon,0.574364233,4.151620315,0.086327839,0.36907252,0.617218716,-1.132225341,0.522117532,0.357139861,-0.004118786,0.711024628,0.845054354,-0.816999263,0.740482502
137,UI10-00075-November-Sunset,-0.790292682,-21.27901293,-0.179334799,-0.484879847,-0.574919283,-0.076136697,-0.547797161,-0.634460724,-0.020611119,-0.827797153,-0.98383876,0.22843198,-0.899815318
138,UI10-00078-Puenktchen,-0.839796515,-24.45951011,-0.315880194,-0.155663734,-0.853775518,-2.848539292,-1.53239362,.,0.039866849,-2.889591682,-3.43428615,0.720108939,-0.93550937
139,UI10-00079-Rigoletto,-1.404096494,-41.73537573,-0.497177235,-0.799013215,-0.492535554,-4.00657268,-1.033481708,-0.93460517,-0.015323013,-1.674469535,-1.990110772,-0.954486285,-1.758223298
140,UI10-00080-Roland,0.681225758,37.89071425,0.282777957,0.480270679,-0.240113343,1.336244167,0.056286615,0.114108913,-0.01010709,0.079697007,0.094720071,1.955185978,0.786874848
141,UI10-00081-Roter-Pfeil,-1.270377231,-28.06337907,-0.584716425,-0.659523609,-0.486188582,-1.368001988,-1.151475127,-0.746890418,0.042430663,-1.91212614,-2.272566176,-0.126590272,-1.884051245
142,UI10-00082-Rotsilber,-0.116606294,7.379973041,-0.007339112,-0.017033264,-0.336081221,0.725578217,-0.036226853,-0.07329443,-0.01349229,-0.015344701,-0.018237212,1.064152386,-0.197655684
143,UI10-00083-Sarabande,-0.80958589,-26.97816263,-0.313119855,-0.331658332,-0.960818744,-2.865354011,-0.934051742,-0.137404925,0.009653129,-1.53257196,-1.821465189,1.422615701,-0.964746308
144,UI10-00084-Silberfeder,0.075311191,-2.053178889,-0.167485822,0.002262753,0.16868969,-0.473431341,0.623722876,0.332410335,-0.017835646,0.848943827,1.008971629,-0.401609218,-0.100947024
145,UI10-00085-Silberfeder,0.460049327,31.75960556,0.161124619,-0.04085086,-0.020570977,0.809778386,-0.067998192,-0.26884675,-0.000476994,-0.067542741,-0.080274699,1.22295633,0.282699782
146,UI10-00086-Silberfeil,-0.379786413,-12.02040525,-0.288900638,-0.088310291,0.105500377,-0.087271597,0.355825694,0.431498247,-0.042420322,0.510541626,0.606779859,-0.659137561,-0.578925829
147,UI10-00087-Silberspinne,-1.15454947,-17.30842865,-0.364951262,-0.437290566,-0.628177585,-2.459137306,-0.854976942,-1.107105131,-0.027525465,-1.345405283,-1.599017175,0.567346533,-1.559531236
148,UI10-00088-Silberturm,1.093515044,18.53132216,0.328908338,0.303699621,0.368883929,2.03779701,0.991846169,0.654277141,0.028335306,1.356616987,1.612342311,0.006285641,1.259471413
149,UI10-00089-Sirene,-0.213543058,-21.43801748,-0.033979199,-0.078442475,0.118847825,-1.962276319,-0.475974517,-0.373371336,-0.018013066,-0.7180097,-0.853356128,-0.944878212,-0.018350792
150,UI10-00090-Stardust,-0.235294113,-11.8559485,0.017444178,-0.301627659,0.67741242,5.381047038,0.02363914,.,-0.034690847,0.045572115,0.054162561,-1.322748715,-0.33650573
151,UI10-00092-Strictus,-0.170965102,0.178118293,-0.062012493,-0.099148453,-0.076521643,-3.542880096,-0.734854694,-0.389782303,-0.006522448,-1.191102295,-1.41562773,0.3486032,-0.286816355
152,UI10-00094-Super-Stripe,-0.10012992,21.37256201,-0.005420383,-0.093789693,0.022259392,-1.346226561,-0.156608504,0.056392198,0.014907017,-0.227046522,-0.269845297,0.73406704,-0.338815081
153,UI10-00096-Undine,-1.022235866,-18.60859488,-0.377122352,-0.235423913,-0.379584395,-2.895892224,-0.594453426,-0.425096629,-0.038538542,-0.920340541,-1.093826782,0.08938564,-1.275186502
154,UI10-00097-Variegatus,-0.863933258,-26.2321179,-0.324063714,-0.463743961,-0.326120732,-2.92397029,-0.506578328,-0.287158074,-0.000997077,-0.769920934,-0.915052745,-0.518373995,-1.090293917
155,UI10-00099-Wetterfahne,-1.20166756,-30.02711858,-0.297875029,-0.564163652,-0.228880287,-4.246960514,-0.929895212,-1.01874727,0.026721186,-1.553296563,-1.846096425,-1.044803094,-1.372517475
156,UI10-00100-Yaku-Jima,.,.,.,.,.,.,.,.,.,.,.,.,.
157,UI10-00101-Yaku-Jima-Dwarf,-0.335647989,-8.195733392,-0.255044023,-0.181938577,-0.715169079,0.012270649,0.517379538,0.529109251,0.030574777,0.64405841,0.765464855,1.396933318,-0.592664536
