"","X.5","SNP","Gene","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","X","X.1","X.2","X.3","X.4","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"17",67,"NsiI.TP249634","Sobic.009G052800","Cml_cm.7",9,5342948,"Cml_cm","PS_N(2)","124+36088im(2)","","","ISIS EM-BLASSO(1);mrMLM(1)","","",0.2746,7.204,NA,"",NA,NA,"",1,"Chr09",5341442,5342418,977,"+",-1506,530,37921367,"Sobic.009G052800","Sobic.009G052800.1","Sobic.009G052800.1.p","","","","","","","","","","LOC_Os05g06520.1",NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
"21",74,"NsiI.TP257077","Sobic.001G079401","Bcirc_cm.5",1,6103539,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.4556,3.433,NA,"",NA,NA,"",1,"Chr01",6101772,6103638,1867,"-",-1767,-99,37944514,"Sobic.001G079401","Sobic.001G079401.1","Sobic.001G079401.1.p","","","","","","","","","","",NA,""
"30",120,"NsiI.TP332475","Sobic.003G315800","CmN.25",3,64344627,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.2026,2.971,NA,"",NA,NA,"",2,"Chr03",64343406,64343947,542,"+",-1221,680,37915964,"Sobic.003G315800","Sobic.003G315800.2","Sobic.003G315800.2.p","","PTHR34114:SF4,PTHR34114","","","","","","","","",NA,""
"45",176,"NsiI.TP404457","Sobic.001G494950","Bcirc_cm.13",1,76403176,"Bcirc_cm","PS_Y(1)","124+36088im(1)","MLM+SUPER(1)","","","","",0.2045,0.1099,NA,"",NA,NA,"",1,"Chr01",76400530,76402484,1955,"-",-2646,692,37941903,"Sobic.001G494950","Sobic.001G494950.1","Sobic.001G494950.1.p","","","","","","","","","","",NA,""
"46",187,"NsiI.TP409721","Sobic.002G266500","CmN.34",2,65096533,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.0915,0.04129,NA,"",NA,NA,"",2,"Chr02",65097219,65098349,1131,"+",686,-1816,37952755,"Sobic.002G266500","Sobic.002G266500.2","Sobic.002G266500.2.p","","","","","","","","","","LOC_Os05g05860.1",NA,"retrotransposon protein, putative, unclassified, expressed"
"48",189,"NsiI.TP409721","Sobic.002G266400","CmN.34",2,65096533,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.0915,0.04129,NA,"",NA,NA,"",1,"Chr02",65095981,65096349,369,"-",-552,184,37953048,"Sobic.002G266400","Sobic.002G266400.1","Sobic.002G266400.1.p","","","","","","","","","","",NA,""
"52",222,"NsiI.TP434679","Sobic.003G128575","CmN.39",3,11842346,"CmN","PS_N(3)","C116+3293(1);C124+2560(2)","","FarmCPU(2)","pLARmEB(1)","","",0.1107,4.918,NA,"",NA,NA,"",1,"Chr03",11840730,11841718,989,"-",-1616,628,37914671,"Sobic.003G128575","Sobic.003G128575.1","Sobic.003G128575.1.p","","","","","","","","","","",NA,""
"61",252,"NsiI.TP471156","Sobic.006G071096","CmD_LI_mm.4",6,43353284,"CmD_LI_mm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.041,15.91,NA,"",NA,NA,"",1,"Chr06",43353433,43354267,835,"+",149,-983,37949196,"Sobic.006G071096","Sobic.006G071096.1","Sobic.006G071096.1.p","PF11250","PTHR33155,PTHR33155:SF5","","","","","","","","LOC_Os04g33710.1",NA,"expressed protein"
"71",313,"NsiI.TP515167","Sobic.004G351600","CmN.53",4,68022596,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.2923,0.01055,NA,"",NA,NA,"",6,"Chr04",68020858,68025379,4522,"+",-1738,-2783,37931983,"Sobic.004G351600","Sobic.004G351600.6","Sobic.004G351600.6.p","PF10220","PTHR13091,PTHR13091:SF0","","","","GO:0000184","","","","LOC_Os02g57780.2",NA,"expressed protein"
"73",321,"NsiI.TP520698","Sobic.001G041700","Cml_cm.17",1,3113038,"Cml_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.4451,0.05498,NA,"",NA,NA,"",3,"Chr01",3100225,3112212,11988,"-",-12813,826,37944063,"Sobic.001G041700","Sobic.001G041700.3","Sobic.001G041700.3.p","","","","","","","","","","LOC_Os03g59650.1",NA,"BRCA1 C Terminus domain containing protein, expressed"
"95",455,"NsiI.TP713636","Sobic.005G148100","CmD_BI_mm.15",5,61642341,"CmD_BI_mm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.1639,41.21,NA,"",NA,NA,"",2,"Chr05",61641003,61642030,1028,"-",-1338,311,37923048,"Sobic.005G148100","Sobic.005G148100.2","Sobic.005G148100.2.p","","","","","","","","","","",NA,""
"99",464,"NsiI.TP741199","Sobic.002G204050","CmD_LI_mm.13",2,59555953,"CmD_LI_mm","PS_N(1)","124+36088im(1)","","","mrMLM(1)","","",0.2008,5.383,NA,"",NA,NA,"",1,"Chr02",59554397,59555205,809,"-",-1556,748,37955542,"Sobic.002G204050","Sobic.002G204050.1","Sobic.002G204050.1.p","","","","","","","","","","",NA,""
"111",507,"NsiI.TP779177","Sobic.004G298250","CmN.75",4,63763133,"CmN","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.2944,2.344,NA,"",NA,NA,"",1,"Chr04",63761872,63762755,884,"+",-1261,378,37932419,"Sobic.004G298250","Sobic.004G298250.1","Sobic.004G298250.1.p","","","","","","","","","","",NA,""
"121",550,"PstI.TP1040729","Sobic.004G197300","Yld_kg.10",4,54844080,"Yld","PS_N(1)","C106+4202(1)","","","mrMLM(1)","","",0.2212,22.12,NA,"PstI.TP1040729",4,54844080,"PstI.TP1040729\4\54844080",1,"Chr04",54843306,54844272,967,"-",-774,-192,37929334,"Sobic.004G197300","Sobic.004G197300.1","Sobic.004G197300.1.p","","","","","","","","","","",NA,""
"133",617,"PstI.TP1090311","Sobic.006G103000","CmN.91",6,47330022,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.07747,8.603,NA,"",NA,NA,"",1,"Chr06",47328961,47330684,1724,"-",-1061,-662,37945602,"Sobic.006G103000","Sobic.006G103000.1","Sobic.006G103000.1.p","","PTHR35503,PTHR35503:SF1","","","","","","","","LOC_Os04g38320.1",NA,"expressed protein"
"136",657,"PstI.TP1100764","Sobic.002G244800","CmN.94",2,63346042,"CmN","PS_Y(1)","124+36088im(1)","","","FASTmrMLM(1)","","",0.3226,1.928,NA,"",NA,NA,"",1,"Chr02",63346258,63346900,643,"-",216,-858,37951523,"Sobic.002G244800","Sobic.002G244800.1","Sobic.002G244800.1.p","","","","","","","","","","",NA,""
