"","X.5","SNP","Gene","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","X","X.1","X.2","X.3","X.4","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"1",1,"GFSSContig15563_263","Sobic.009G255100","CmN.1",9,58912474,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1445,8.621,NA,"",NA,NA,"",5,"Chr09",58910532,58914835,4304,"-",-1942,-2361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",6,"GFSSContig18315_975","Sobic.009G187100","CmN.3",9,53976945,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.2024,3.008,NA,"",NA,NA,"",1,"Chr09",53975946,53977915,1970,"-",-999,-970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",93,"NsiI.TP296881","Sobic.010G087300","Bcirc_cm.6",10,7488785,"Bcirc_cm","PS_N(3);PS_Y(1)","124+36088im(4)","","","ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(2)","","",0.0369,5.317,NA,"",NA,NA,"",1,"Chr10",7481503,7488404,6902,"-",-7282,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",96,"NsiI.TP296932","Sobic.009G142000","Bcirc_cm.7",9,49933625,"Bcirc_cm","PS_N(3);PS_Y(1)","124+36088im(4)","","","ISIS EM-BLASSO(1);mrMLM(2);pKWmEB(1)","","",0.1025,30.57,NA,"",NA,NA,"",1,"Chr09",49932745,49941367,8623,"+",-880,-7742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",214,"NsiI.TP415575","Sobic.009G186300","CmN.35",9,53923129,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.05339,8.295,NA,"",NA,NA,"",1,"Chr09",53920131,53923447,3317,"-",-2998,-318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",231,"NsiI.TP445017","Sobic.009G213500","Cml_cm.13",9,55901846,"Cml_cm","PS_N(1);PS_Y(2)","C116+3293(2);C124+2560(1)","","FarmCPU(1)","FASTmrMLM(1);ISIS EM-BLASSO(1)","","",0.4871,7.028,NA,"",NA,NA,"",2,"Chr09",55898970,55902453,3484,"-",-2876,-607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",240,"NsiI.TP459060","Sobic.010G006100","CmN.45",10,497104,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1031,6.791,NA,"",NA,NA,"",2,"Chr10",495563,496714,1152,"-",-1541,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",253,"NsiI.TP471487","Sobic.010G188500","Yld_kg.5",10,52898413,"Yld","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.187,1.74e-06,NA,"NsiI.TP471487",10,52898413,"NsiI.TP471487\10\52898413",1,"Chr10",52896453,52900041,3589,"+",-1960,-1628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",308,"NsiI.TP509742","Sobic.009G125400","CmN.51",9,47862370,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.2069,7.81,NA,"",NA,NA,"",2,"Chr09",47848523,47861791,13269,"+",-13847,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",331,"NsiI.TP525011","Sobic.010G005401","CmN.54",10,450727,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.2415,0.1802,NA,"",NA,NA,"",1,"Chr10",448862,451672,2811,"+",-1865,-945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",333,"NsiI.TP525011","Sobic.010G005500","CmN.54",10,450727,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.2415,0.1802,NA,"",NA,NA,"",1,"Chr10",451673,455105,3433,"-",946,-4378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",399,"NsiI.TP631452","Sobic.010G183032","Yld_kg.7",10,52286358,"Yld","PS_N(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1976,16.63,NA,"NsiI.TP631452",10,52286358,"NsiI.TP631452\10\52286358",1,"Chr10",52285960,52287598,1639,"-",-398,-1240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
