"","SNP","Gene","chr","start","end","width","strand"
"1","NsiI.TP211798","Sobic.001G444100.1","Chr01",72126363,72130476,4114,"+"
"2","NsiI.TP211798","Sobic.001G444100.2","Chr01",72126363,72130476,4114,"+"
"3","NsiI.TP211798","Sobic.001G444200.1","Chr01",72130897,72132804,1908,"-"
"4","NsiI.TP211798","Sobic.001G444100.1","Chr01",72126363,72130476,4114,"+"
"5","NsiI.TP211798","Sobic.001G444100.2","Chr01",72126363,72130476,4114,"+"
"6","NsiI.TP211798","Sobic.001G444200.1","Chr01",72130897,72132804,1908,"-"
"7","NsiI.TP218789","Sobic.003G194500.1","Chr03",51790405,51796572,6168,"+"
"8","NsiI.TP250072","Sobic.009G050900.1","Chr09",5048810,5056136,7327,"+"
"9","NsiI.TP250072","Sobic.009G050900.2","Chr09",5048810,5056136,7327,"+"
"10","NsiI.TP257077","Sobic.001G079500.1","Chr01",6104059,6105842,1784,"+"
"11","NsiI.TP257077","Sobic.001G079401.1","Chr01",6101772,6103638,1867,"-"
"12","NsiI.TP257077","Sobic.001G079500.1","Chr01",6104059,6105842,1784,"+"
"13","NsiI.TP257077","Sobic.001G079401.1","Chr01",6101772,6103638,1867,"-"
"14","NsiI.TP296881","Sobic.010G087300.1","Chr10",7481503,7488404,6902,"-"
"15","NsiI.TP296881","Sobic.010G087300.2","Chr10",7481503,7488404,6902,"-"
"16","NsiI.TP296881","Sobic.010G087300.3","Chr10",7481503,7488404,6902,"-"
"17","NsiI.TP296932","Sobic.009G142000.1","Chr09",49932745,49941367,8623,"+"
"18","NsiI.TP296932","Sobic.009G142000.2","Chr09",49932745,49941367,8623,"+"
"19","NsiI.TP346008","Sobic.004G350700.1","Chr04",67934120,67938364,4245,"-"
"20","NsiI.TP39740","Sobic.002G001300.3","Chr02",184995,187169,2175,"-"
"21","NsiI.TP404457","Sobic.001G494950.1","Chr01",76400530,76402484,1955,"-"
"22","NsiI.TP404457","Sobic.001G495000.2","Chr01",76403349,76412452,9104,"-"
"23","NsiI.TP404457","Sobic.001G495000.3","Chr01",76403349,76412452,9104,"-"
"24","NsiI.TP404457","Sobic.001G494950.1","Chr01",76400530,76402484,1955,"-"
"25","NsiI.TP404457","Sobic.001G495000.2","Chr01",76403349,76412452,9104,"-"
"26","NsiI.TP404457","Sobic.001G495000.3","Chr01",76403349,76412452,9104,"-"
"27","NsiI.TP441693","Sobic.003G029900.1","Chr03",2655907,2661093,5187,"+"
"28","NsiI.TP482264","Sobic.001G376600.1","Chr01",66519811,66521335,1525,"+"
"29","NsiI.TP647736","Sobic.006G215400.1","Chr06",56339325,56347787,8463,"-"
"30","NsiI.TP648509","Sobic.010G146000.1","Chr10",41350269,41353669,3401,"-"
"31","NsiI.TP762935","Sobic.006G018800.1","Chr06",3178404,3183167,4764,"+"
"32","PstI.TP1016611","Sobic.001G150200.1","Chr01",12063885,12067646,3762,"+"
"33","PstI.TP1025634","Sobic.002G347300.1","Chr02",71274474,71279160,4687,"+"
"34","PstI.TP1040729","Sobic.004G197300.1","Chr04",54843306,54844272,967,"-"
"35","PstI.TP1040729","Sobic.004G197400.1","Chr04",54844528,54853373,8846,"-"
"36","PstI.TP1040729","Sobic.004G197300.1","Chr04",54843306,54844272,967,"-"
"37","PstI.TP1040729","Sobic.004G197400.1","Chr04",54844528,54853373,8846,"-"
"38","PstI.TP1280049","Sobic.003G049600.2","Chr03",4541987,4548948,6962,"+"
"39","PstI.TP134129","Sobic.009G158000.1","Chr09",51568670,51573600,4931,"+"
"40","PstI.TP148994","Sobic.006G110600.1","Chr06",47929464,47932464,3001,"+"
"41","PstI.TP148994","Sobic.006G110500.2","Chr06",47927268,47929907,2640,"-"
"42","PstI.TP148994","Sobic.006G110600.1","Chr06",47929464,47932464,3001,"+"
"43","PstI.TP148994","Sobic.006G110500.2","Chr06",47927268,47929907,2640,"-"
"44","PstI.TP150197","Sobic.001G258200.2","Chr01",30649723,30655105,5383,"+"
