"","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Yld_kg_sub","Yld"
"CmDW_g",1,0.768912070166709,0.836838917840799,0.77238008048878,0.655747851384928,0.600314923396047,0.682014784324508,0.748219290602238,0.772695366611614,0.791555128727547,0.725971088396304
"Cml_cm",0.768912070166709,1,0.712276706006599,0.708670896002284,0.512136590010633,0.485631821498208,0.419577873841895,0.679601147117029,0.543161807841227,0.679746695126448,0.465850686896655
"CmD_BI_mm",0.836838917840799,0.712276706006599,1,0.780934766225913,0.569199026738629,0.587610806897366,0.557475585370141,0.614233431682527,0.651547041284634,0.66929515945144,0.580709450202512
"CmD_LI_mm",0.77238008048878,0.708670896002284,0.780934766225913,1,0.435587121981058,0.440791002577173,0.41315173182162,0.632289581077965,0.504960020494186,0.651754594561917,0.458951737780086
"CmN.",0.655747851384928,0.512136590010633,0.569199026738629,0.435587121981058,1,0.625546787733532,0.564089107238723,0.607522317603007,0.654218767232851,0.661401823264962,0.591319221233215
"Bcirc_cm",0.600314923396047,0.485631821498208,0.587610806897366,0.440791002577173,0.625546787733532,1,0.607227412682435,0.59662115378287,0.687929164822004,0.644227763464946,0.621042426273251
"Yld_kg",0.682014784324508,0.419577873841895,0.557475585370141,0.41315173182162,0.564089107238723,0.607227412682435,1,0.543761941589798,0.947667805790791,0.633572956409414,0.980490248287485
"SDW_kg",0.748219290602238,0.679601147117029,0.614233431682527,0.632289581077965,0.607522317603007,0.59662115378287,0.543761941589798,1,0.662173974524093,0.965733229848747,0.640964841256292
"CCirc_cm",0.772695366611614,0.543161807841227,0.651547041284634,0.504960020494186,0.654218767232851,0.687929164822004,0.947667805790791,0.662173974524093,1,0.74029910301505,0.953612612678831
"Yld_kg_sub",0.791555128727547,0.679746695126448,0.66929515945144,0.651754594561917,0.661401823264962,0.644227763464946,0.633572956409414,0.965733229848747,0.74029910301505,1,0.697712518736633
"Yld",0.725971088396304,0.465850686896655,0.580709450202512,0.458951737780086,0.591319221233215,0.621042426273251,0.980490248287485,0.640964841256292,0.953612612678831,0.697712518736633,1
