Genotype,Species,DAPC group,Latitude,Longitude,South Japan,Central Japan,North Japan,Korea/N China,Sichuan,Yangtze-Qinling,SE China,Msa
KMS166,M. sinensis,Korea/N China,38.029,127.836,0.033,0.004,0,0.914,0,0.044,0.001,0.005
KMS167,M. sinensis,Korea/N China,38.035,127.872,0.072,0.006,0.012,0.861,0.002,0.042,0.002,0.004
KMS168,M. sinensis,Korea/N China,38.13,128.053,0.036,0,0,0.961,0,0.002,0,0
KMS169,M. sinensis,Korea/N China,38.043,127.945,0.047,0,0.001,0.926,0.001,0.021,0.003,0.001
KMS170,M. sinensis,Korea/N China,37.712,128.182,0.043,0.008,0.004,0.923,0,0.014,0.003,0.004
KMS171-2,M. sinensis,Korea/N China,37.799,128.855,0.045,0.001,0,0.946,0.004,0.001,0.003,0
KMS174,M. sinensis,Korea/N China,37.938,127.784,0.056,0.001,0,0.924,0,0.017,0.001,0.001
KMS175,M. sinensis,Korea/N China,38.147,127.096,0.049,0,0,0.946,0,0.001,0.002,0
KMS176,M. sinensis,Korea/N China,37.996,127.79,0.043,0.002,0.002,0.92,0.001,0.025,0.006,0.001
KMS177,M. sinensis,Korea/N China,37.772,127.742,0.083,0.001,0.03,0.878,0,0.005,0.003,0
KMS201,M. sinensis,Korea/N China,37.492,127.985,0.059,0.001,0,0.921,0.004,0.003,0,0.012
KMS203,M. sinensis,Korea/N China,38.07,127.523,0.079,0,0,0.885,0,0.035,0,0
KMS204,M. sinensis,Korea/N China,37.85,127.577,0.042,0.001,0,0.943,0,0.008,0.005,0.001
KMS205,M. sinensis,Korea/N China,36.892,127.95,0.041,0.001,0.001,0.941,0,0.015,0,0.002
KMS206,M. sinensis,Korea/N China,37.082,127.956,0.031,0.001,0.001,0.965,0,0,0.001,0.001
KMS207-8,M. sinensis,Korea/N China,37.062,128.169,0.034,0,0,0.943,0.001,0.018,0.001,0.002
KMS209-10,M. sinensis,Korea/N China,37.143,128.161,0.018,0.001,0,0.961,0,0.019,0.001,0
KMS211-3,M. sinensis,Korea/N China,37.161,126.903,0.034,0,0.001,0.955,0,0.003,0.001,0.006
KMS215,M. sinensis,Korea/N China,38.166,127.46,0.085,0.001,0.009,0.878,0.005,0.015,0.005,0.003
KMS216-21,M. sinensis,Korea/N China,35.436,126.702,0.08,0,0,0.919,0,0,0,0
KMS223-6,M. sinensis,Korea/N China,36.797,127.604,0.095,0,0.004,0.897,0,0.003,0.001,0
KMS227-30,M. sinensis,Korea/N China,37.187,128.407,0.071,0.001,0,0.925,0,0,0.001,0
KMS231,M. sinensis,Korea/N China,35.856,129.225,0.063,0,0.002,0.885,0,0.042,0,0.008
KMS233,M. sinensis,Korea/N China,35.436,126.702,0.066,0.001,0.002,0.896,0.001,0.032,0.002,0
KMS234-5,M. sinensis,Korea/N China,35.065,126.987,0.009,0,0.003,0.982,0.001,0.001,0.001,0.003
KMS236-41,M. sinensis,Korea/N China,35.718,127.153,0,0,0,0.998,0,0.001,0,0
KMS243-7,M. sinensis,Korea/N China,34.987,127.512,0.014,0.002,0,0.982,0,0,0,0
KMS248-9,M. sinensis,Korea/N China,37.591,128.281,0.029,0.001,0,0.952,0.002,0.003,0.007,0.006
KY-2009-001-B20-b,M. sinensis,US naturalized,37.803,-83.663,0.5,0.32,0.079,0.029,0.01,0.018,0.041,0.004
KY-2009-001-B20-e,M. sinensis,US naturalized,37.803,-83.663,0.486,0.34,0.066,0.024,0.012,0.017,0.05,0.004
KY-2009-001-C,M. sinensis,US naturalized,37.803,-83.663,0.524,0.327,0.064,0.02,0.006,0.02,0.035,0.004
KY-2009-001-D,M. sinensis,US naturalized,37.803,-83.663,0.453,0.329,0.077,0.041,0.015,0.017,0.054,0.015
Morioka,M. sinensis,N Japan,,,0,0,1,0,0,0,0,0
NC-2010-001-009,M. sinensis,US naturalized,35.534,-82.547,0.596,0.258,0.042,0.031,0.014,0.016,0.039,0.005
NC-2010-001-010,M. sinensis,US naturalized,35.534,-82.547,0.58,0.277,0.044,0.025,0.015,0.014,0.039,0.005
NC-2010-001-5-B18-a,M. sinensis,US naturalized,35.55,-82.567,0.643,0.222,0.021,0.03,0.014,0.012,0.05,0.008
NC-2010-001-5-B18-b,M. sinensis,US naturalized,35.55,-82.567,0.629,0.271,0.019,0.02,0.006,0.007,0.043,0.003
NC-2010-001-5-C,M. sinensis,US naturalized,35.55,-82.567,0.574,0.259,0.05,0.029,0.015,0.015,0.052,0.007
NC-2010-001-B,M. sinensis,US naturalized,35.534,-82.547,0.664,0.228,0.015,0.023,0.019,0.014,0.034,0.003
NC-2010-001-B44-e,M. sinensis,US naturalized,35.534,-82.547,0.64,0.231,0.023,0.03,0.013,0.018,0.037,0.008
NC-2010-002-001,M. sinensis,US naturalized,35.837,-82.621,0.646,0.208,0.015,0.035,0.008,0.012,0.045,0.031
NC-2010-002-002,M. sinensis,US naturalized,35.837,-82.621,0.65,0.252,0.025,0.019,0.01,0.009,0.034,0.002
NC-2010-003-001,M. sinensis,US naturalized,35.591,-82.571,0.611,0.262,0.031,0.025,0.01,0.007,0.041,0.013
NC-2010-003-B50-a,M. sinensis,US naturalized,35.591,-82.571,0.653,0.213,0.019,0.043,0.012,0.015,0.041,0.004
NC-2010-003-B50-b,M. sinensis,US naturalized,35.591,-82.571,0.659,0.205,0.025,0.03,0.014,0.015,0.036,0.015
NC-2010-003-D,M. sinensis,US naturalized,35.591,-82.571,0.649,0.231,0.024,0.02,0.015,0.014,0.043,0.004
NC-2010-003-E,M. sinensis,US naturalized,35.591,-82.571,0.592,0.257,0.038,0.03,0.011,0.019,0.049,0.005
NC-2010-004-B37-b,M. sinensis,US naturalized,35.758,-82.541,0.498,0.375,0.067,0.015,0.004,0.005,0.033,0.003
NC-2010-004-B37-d,M. sinensis,US naturalized,35.758,-82.541,0.606,0.243,0.039,0.024,0.021,0.011,0.048,0.007
NC-2010-004-E,M. sinensis,US naturalized,35.758,-82.541,0.554,0.296,0.044,0.025,0.01,0.01,0.054,0.007
OH-2009-001-B20-b,M. sinensis,US naturalized,39.476,-81.305,0.525,0.317,0.059,0.031,0.009,0.015,0.039,0.005
OH-2009-001-B20-d,M. sinensis,US naturalized,39.476,-81.305,0.521,0.302,0.067,0.031,0.009,0.015,0.048,0.008
PA-2010-001-005,M. sinensis,US naturalized,40.078,-75.482,0.442,0.365,0.084,0.031,0.008,0.011,0.048,0.011
PA-2010-001-B63-a,M. sinensis,US naturalized,40.077,-75.482,0.457,0.337,0.093,0.03,0.012,0.017,0.045,0.009
PA-2010-001-B63-c,M. sinensis,US naturalized,40.077,-75.482,0.435,0.367,0.098,0.016,0.01,0.012,0.044,0.017
PA-2010-002-004,M. sinensis,US naturalized,39.954,-75.39,0.379,0.419,0.14,0.021,0.008,0.007,0.02,0.005
PA-2010-002-013,M. sinensis,US naturalized,39.954,-75.39,0.376,0.438,0.091,0.02,0.011,0.013,0.044,0.008
PA-2010-002-015,M. sinensis,US naturalized,39.954,-75.39,0.396,0.422,0.099,0.023,0.007,0.012,0.038,0.003
PA-2010-002-B3-b,M. sinensis,US naturalized,39.954,-75.39,0.423,0.399,0.098,0.02,0.01,0.008,0.04,0.003
PA-2010-002-B3-d,M. sinensis,US naturalized,39.954,-75.39,0.651,0.226,0.018,0.038,0.012,0.013,0.036,0.006
PA-2010-002-E,M. sinensis,US naturalized,39.954,-75.39,0.372,0.411,0.123,0.019,0.015,0.011,0.043,0.007
PA-2010-003-B20-b,M. sinensis,US naturalized,39.964,-75.396,0.397,0.369,0.132,0.027,0.012,0.012,0.038,0.012
PA-2010-003-B20-c,M. sinensis,US naturalized,39.964,-75.396,0.37,0.431,0.121,0.018,0.008,0.012,0.035,0.006
PI230189-US56-0022-03,M. floridulus,SE China/tropical,,,0.001,0.002,0.004,0,0.1,0,0.881,0.012
PI294602-US64-0004-02,M. sinensis,SE China/tropical,,,0.026,0.007,0.019,0.001,0.08,0.001,0.848,0.018
PI294605-US64-0007-01,M. sinensis var. condensatus,SE China/tropical,,,0.185,0.32,0.042,0.001,0.06,0,0.387,0.005
PI295762,M. floridulus,SE China/tropical,,,0,0.001,0,0,0.082,0.012,0.862,0.043
PI295764-Gracillimus,M. sinensis,SE China/tropical,,,0.003,0.004,0.008,0,0.087,0,0.892,0.005
PI302423-US64-0016-03,M. sp.,SE China/tropical,,,0.018,0.065,0.012,0.001,0.089,0,0.808,0.007
PI417947-NG77-022,M. floridulus,SE China/tropical,-9.5,147.117,0.002,0.035,0,0,0.082,0.001,0.841,0.037
PI423566-M75-062,M. sp.,SE China/tropical,,,0.053,0.017,0.007,0,0.071,0,0.84,0.01
PMS-005,M. sinensis,Sichuan,29.896,109.561,0.001,0.003,0.023,0.03,0.499,0.196,0.248,0
PMS-007,M. sinensis,Yangtze-Qinling,30.798,110.262,0.003,0,0.001,0.049,0.277,0.55,0.118,0.003
PMS-008,M. sinensis,SE China/tropical,30.796,110.055,0.006,0.001,0,0.034,0.331,0.505,0.121,0.002
PMS-009,M. sinensis,Sichuan,30.584,109.705,0.022,0.002,0.001,0.032,0.624,0.201,0.111,0.007
PMS-014,M. sinensis,Sichuan,29.657,109.12,0.001,0.001,0.01,0.03,0.749,0.076,0.128,0.005
PMS-018,M. sinensis,Sichuan,29.375,108.111,0.012,0.001,0.003,0.015,0.889,0.033,0.042,0.005
PMS-038,M. sinensis,Sichuan,30.577,105.243,0.003,0.002,0.006,0.003,0.828,0.137,0.009,0.01
PMS-044,M. sinensis,Sichuan,28.685,105.135,0.001,0.001,0.001,0.003,0.978,0.009,0.002,0.005
PMS-047,M. sinensis,Sichuan,28.653,104.949,0,0,0.022,0.003,0.958,0.014,0.002,0
PMS-049,M. sinensis,Sichuan,28.92,104.914,0.005,0.004,0.03,0.001,0.912,0.032,0.013,0.002
PMS-053,M. sinensis,Sichuan,30.218,103.481,0.001,0.001,0.001,0.001,0.911,0.065,0.017,0.004
PMS-054,M. sinensis,Sichuan,30.083,103.084,0,0.001,0.018,0.009,0.91,0.031,0.029,0.001
PMS-055,M. sinensis,Sichuan,30.073,103.045,0.001,0.005,0.015,0.001,0.903,0.054,0.004,0.017
PMS-058,M. sinensis,Sichuan,30.166,102.895,0.003,0,0.008,0.012,0.899,0.035,0.038,0.004
PMS-071,M. sacchariflorus,M. sacchariflorus 2x,40.391,117.007,0,0.001,0.004,0,0.002,0,0,0.991
PMS-074,M. sacchariflorus,M. sacchariflorus 2x,40.134,116.175,0,0,0,0,0,0,0,1
PMS-075,M. sacchariflorus,M. sacchariflorus 2x,40.135,116.175,0.001,0.012,0.002,0.005,0.001,0.002,0.001,0.976
PMS-076,M. sacchariflorus,M. sacchariflorus 2x,40.164,116.05,0,0,0.005,0,0,0,0,0.993
PMS-077,M. sacchariflorus,M. sacchariflorus 2x,40.145,115.904,0.001,0.001,0.001,0.001,0.004,0.002,0,0.991
PMS-080,M. sinensis,Yangtze-Qinling,30.765,111.34,0,0.001,0,0.075,0.164,0.673,0.082,0.005
PMS-081,M. sinensis,Yangtze-Qinling,30.864,111.361,0.003,0,0.003,0.055,0.245,0.613,0.08,0
PMS-086,M. sinensis,Yangtze-Qinling,31.337,110.561,0.004,0.001,0,0.007,0.191,0.791,0.001,0.004
PMS-087,M. sinensis,Yangtze-Qinling,31.47,110.388,0.007,0.006,0.031,0.06,0.148,0.743,0.001,0.004
PMS-089,M. sinensis,Yangtze-Qinling,31.494,110.367,0.007,0,0.041,0.001,0.19,0.759,0,0.002
PMS-093,M. sinensis,Yangtze-Qinling,31.758,110.538,0.004,0.001,0.003,0.015,0.004,0.956,0.01,0.007
PMS-094,M. sinensis,Yangtze-Qinling,31.757,110.543,0.001,0,0.007,0.011,0.008,0.97,0.003,0
PMS-101,M. sinensis,Yangtze-Qinling,32.082,110.498,0,0.002,0.025,0.023,0.001,0.947,0.001,0
PMS-102,M. sinensis,Yangtze-Qinling,32.115,110.46,0,0,0.008,0.017,0.008,0.963,0,0.003
PMS-107,M. sinensis,Yangtze-Qinling,32.351,110.476,0.007,0.001,0.035,0.028,0.003,0.903,0.018,0.004
PMS-108,M. sinensis,Yangtze-Qinling,32.439,109.284,0.004,0.004,0.004,0.015,0.013,0.955,0.002,0.004
PMS-110,M. sinensis,Yangtze-Qinling,32.52,109.149,0.001,0.004,0.002,0.034,0.028,0.92,0.001,0.01
PMS-111,M. xgiganteus,M. xgiganteus 2x,32.959,108.323,0,0,0,0,0.026,0.5,0,0.474
PMS-115,M. sinensis,Yangtze-Qinling,33.007,108.144,0.004,0.002,0.003,0.001,0.052,0.935,0.003,0
PMS-116,M. sinensis,Yangtze-Qinling,33.02,108.083,0.003,0,0.013,0.023,0.041,0.916,0.002,0
PMS-117,M. sinensis,Yangtze-Qinling,33.016,107.98,0,0,0,0.013,0.045,0.935,0.004,0.003
PMS-118,M. sinensis,Yangtze-Qinling,32.97,107.672,0.001,0,0.002,0.002,0.14,0.843,0.003,0.009
PMS-120,M. sinensis,Yangtze-Qinling,32.957,107.549,0.001,0.001,0,0.023,0.148,0.823,0.002,0.003
PMS-121,M. sinensis,Yangtze-Qinling,33.05,107.432,0.001,0,0,0.006,0.068,0.921,0.001,0.001
PMS-122,M. sinensis,Yangtze-Qinling,33.025,106.259,0,0,0,0.001,0.014,0.984,0,0
PMS-124,M. sinensis,Yangtze-Qinling,32.981,106.258,0.006,0,0,0.001,0.067,0.923,0.001,0.001
PMS-125,M. sinensis,Yangtze-Qinling,32.964,106.241,0,0,0,0.007,0.033,0.959,0,0
PMS-127,M. sinensis,Yangtze-Qinling,33.053,104.668,0,0.002,0.004,0.062,0.001,0.918,0.013,0
PMS-129,M. sinensis,Yangtze-Qinling,33.067,104.713,0.002,0.002,0.001,0.04,0,0.951,0.001,0.004
PMS-130,M. sinensis,Yangtze-Qinling,33.456,105.137,0,0,0,0.001,0,0.997,0,0
PMS-131,M. sinensis,Yangtze-Qinling,33.503,105.356,0.002,0,0,0.001,0.001,0.992,0,0.004
PMS-133,M. sinensis,Yangtze-Qinling,33.693,105.614,0.001,0,0.003,0.002,0.011,0.977,0,0.007
PMS-134,M. sinensis,Yangtze-Qinling,33.758,105.796,0.004,0.001,0.003,0.004,0.01,0.964,0,0.014
PMS-136,M. sinensis,Yangtze-Qinling,33.832,106.188,0.014,0.002,0.013,0.02,0.002,0.913,0.03,0.006
PMS-140,M. sinensis,Yangtze-Qinling,33.985,106.658,0.001,0,0.001,0.02,0,0.976,0,0.002
PMS-144,M. sinensis,Yangtze-Qinling,34.245,106.933,0.009,0.021,0.003,0.007,0.013,0.942,0.001,0.005
PMS-151,M. sinensis,Yangtze-Qinling,33.523,110.917,0.004,0,0.001,0.009,0.003,0.978,0.001,0.003
PMS-156,M. sinensis,Yangtze-Qinling,33.693,111.081,0.001,0.001,0.001,0.005,0,0.988,0.001,0.002
PMS-159,M. sinensis,Yangtze-Qinling,34.13,111.044,0,0.001,0.016,0.021,0.001,0.949,0.003,0.008
PMS-161,M. sinensis,Yangtze-Qinling,35.722,112.325,0.003,0,0.004,0.006,0,0.981,0,0.005
PMS-162,M. xgiganteus,M. xgiganteus 2x,35.705,112.614,0,0,0,0,0.027,0.504,0,0.469
PMS-163,M. sinensis,Yangtze-Qinling,35.723,112.688,0.002,0.001,0,0.032,0.002,0.936,0.003,0.023
PMS-164,M. sinensis,Yangtze-Qinling,37.34,114.281,0.005,0.008,0.011,0.304,0.025,0.621,0,0.025
PMS-165,M. sinensis,Yangtze-Qinling,37.337,114.28,0.002,0.012,0.001,0.332,0.002,0.649,0,0.002
PMS-167,M. sinensis,Yangtze-Qinling,37.345,114.248,0,0,0,0.344,0,0.651,0.001,0.002
PMS-169,M. sinensis,Yangtze-Qinling,34.505,113.042,0.003,0.002,0.005,0.006,0,0.979,0,0.003
PMS-170,M. sinensis,Yangtze-Qinling,34.506,113.041,0,0,0,0.002,0,0.991,0,0.006
PMS-171,M. sinensis,Yangtze-Qinling,34.506,113.041,0,0,0.001,0.002,0.006,0.982,0,0.007
PMS-172,M. sinensis,Yangtze-Qinling,34.507,113.041,0.004,0.002,0.013,0.028,0.005,0.932,0.003,0.014
PMS-174,M. sinensis,Yangtze-Qinling,34.507,113.042,0.001,0.005,0.003,0.035,0.002,0.949,0.001,0.004
PMS-176,M. sinensis,Yangtze-Qinling,34.509,113.042,0.001,0,0,0.009,0.001,0.989,0,0
PMS-178,M. sinensis,Yangtze-Qinling,34.511,113.041,0.002,0,0.002,0.004,0.001,0.989,0.001,0.001
PMS-180,M. sinensis,Yangtze-Qinling,31.878,115.412,0.001,0.004,0.013,0.305,0,0.606,0.071,0
PMS-182,M. sinensis,SE China/tropical,31.757,115.473,0,0,0,0.078,0.001,0.278,0.641,0.001
PMS-183,M. sinensis,Yangtze-Qinling,31.748,115.488,0.001,0,0.019,0.269,0,0.598,0.11,0.003
PMS-184,M. sinensis,Yangtze-Qinling,31.742,115.49,0,0.002,0.002,0.28,0.001,0.575,0.138,0.002
PMS-189,M. sinensis,Yangtze-Qinling,31.759,115.535,0,0.001,0,0.29,0,0.606,0.103,0
PMS-194,M. sinensis,Yangtze-Qinling,31.548,115.312,0.002,0.001,0.009,0.255,0,0.626,0.108,0
PMS-204,M. sinensis,Yangtze-Qinling,31.701,114.874,0,0.001,0,0.248,0,0.581,0.169,0.001
PMS-211,M. sinensis,SE China/tropical,30.978,114.643,0.001,0.001,0.023,0.054,0.001,0.244,0.675,0
PMS-212,M. sinensis,SE China/tropical,26.95,108.667,0.007,0.005,0.001,0.016,0.606,0.06,0.286,0.019
PMS-213,M. sinensis,SE China/tropical,26.928,108.65,0.021,0.002,0.017,0.009,0.693,0.031,0.227,0
PMS-218,M. sinensis,Sichuan,26.752,108.498,0.036,0.001,0.01,0.001,0.797,0.029,0.124,0.001
PMS-223,M. sinensis,Sichuan,26.673,108.148,0.001,0.001,0.033,0.003,0.824,0.001,0.132,0.004
PMS-224,M. sinensis,Sichuan,26.634,108.117,0,0.008,0.006,0,0.887,0,0.096,0.002
PMS-231,M. sinensis,Sichuan,26.619,106.758,0.006,0.002,0.016,0,0.932,0,0.041,0.002
PMS-232,M. sinensis,Sichuan,26.639,106.619,0.008,0,0.001,0.001,0.966,0,0.013,0.011
PMS-235,M. sinensis,Sichuan,26.659,106.607,0.003,0.017,0.004,0.001,0.948,0,0.027,0
PMS-257,M. sinensis,SE China/tropical,23.262,104.421,0.014,0.001,0,0,0.655,0,0.327,0.003
PMS-259,M. sinensis,SE China/tropical,23.254,104.453,0.01,0.007,0.002,0.002,0.693,0.001,0.276,0.009
PMS-270,M. sinensis,Sichuan,24.17,102.4,0,0,0,0,0.672,0,0.327,0
PMS-272,M. sinensis,Yangtze-Qinling,28.731,116.441,0.024,0.002,0.001,0.189,0,0.444,0.325,0.016
PMS-273,M. sinensis,Yangtze-Qinling,28.742,116.54,0.028,0.001,0.001,0.21,0.001,0.429,0.328,0.001
PMS-279,M. xgiganteus,M. xgiganteus 2x,29.101,117.081,0,0,0,0,0.032,0,0.398,0.569
PMS-284,M. sinensis,Yangtze-Qinling,29.487,118.155,0.026,0.002,0.001,0.169,0,0.409,0.348,0.044
PMS-285,M. sinensis,Yangtze-Qinling,29.644,118.158,0.024,0.028,0.001,0.202,0,0.398,0.346,0.001
PMS-288,M. sinensis,Yangtze-Qinling,29.957,118.362,0.001,0.002,0.003,0.283,0,0.441,0.257,0.013
PMS-293,M. sinensis,SE China/tropical,31.346,119.684,0.084,0.049,0.015,0.06,0.041,0.158,0.592,0.001
PMS-296,M. sinensis,Yangtze-Qinling,31.221,120.381,0,0,0,0.481,0,0.377,0.128,0.012
PMS-300,M. xgiganteus,M. xgiganteus 2x,30.874,120.145,0,0,0,0.201,0,0.295,0.023,0.479
PMS-303,M. sinensis,Yangtze-Qinling,30.103,119.94,0,0.002,0,0.344,0,0.408,0.244,0
PMS-304,M. sinensis,Yangtze-Qinling,29.97,119.914,0.002,0,0.002,0.308,0.001,0.446,0.24,0
PMS-306,M. sinensis,Yangtze-Qinling,29.892,119.842,0.002,0.003,0.012,0.304,0,0.452,0.227,0
PMS-308,M. sinensis,Yangtze-Qinling,29.803,119.711,0.006,0.003,0,0.299,0.013,0.426,0.251,0.002
PMS-311,M. sinensis,Yangtze-Qinling,29.561,119.76,0.001,0.002,0.001,0.23,0.001,0.409,0.354,0.002
PMS-314,M. sinensis,Yangtze-Qinling,26.528,119.632,0,0.008,0.002,0.388,0.002,0.456,0.133,0.011
PMS-317,M. sinensis,SE China/tropical,26.324,119.499,0.066,0.04,0,0.046,0.002,0.185,0.66,0
PMS-318,M. sinensis,SE China/tropical,26.184,119.54,0.057,0.064,0.002,0.064,0.007,0.175,0.629,0.002
PMS-321,M. sinensis,SE China/tropical,26.022,119.197,0.092,0.035,0.001,0.05,0.001,0.172,0.65,0
PMS-322,M. sinensis,SE China/tropical,26.022,119.197,0.146,0.032,0.001,0.043,0.008,0.152,0.617,0.001
PMS-323,M. sinensis,SE China/tropical,26.022,119.197,0.123,0.004,0.002,0.048,0.001,0.168,0.642,0.012
PMS-327,M. sinensis,SE China/tropical,26.15,117.503,0.071,0.005,0.001,0.011,0.063,0.129,0.72,0.001
PMS-329,M. sinensis,SE China/tropical,26.049,117.432,0,0,0.02,0.038,0.001,0.143,0.792,0.007
PMS-330,M. sinensis,SE China/tropical,25.948,117.32,0.063,0.001,0,0.001,0.033,0.111,0.79,0
PMS-331,M. sinensis,SE China/tropical,25.887,117.265,0.041,0.014,0.001,0.007,0.044,0.079,0.795,0.02
PMS-332,M. sinensis,SE China/tropical,25.819,117.191,0.02,0.021,0.008,0.005,0.019,0.089,0.838,0
PMS-333,M. sinensis,SE China/tropical,25.765,117.152,0.09,0.001,0,0.002,0.059,0.085,0.762,0
PMS-335,M. sinensis,SE China/tropical,25.874,116.119,0.026,0.005,0.042,0.096,0.019,0.244,0.567,0.001
PMS-336,M. sinensis,SE China/tropical,25.858,116.003,0.007,0.016,0.002,0.077,0.002,0.268,0.623,0.005
PMS-337,M. sinensis,SE China/tropical,25.802,115.974,0.005,0.028,0.001,0.086,0.017,0.223,0.638,0.001
PMS-338,M. sinensis,SE China/tropical,25.732,115.889,0.001,0.003,0.001,0.09,0.002,0.204,0.698,0.001
PMS-339,M. sinensis,SE China/tropical,25.662,115.816,0.014,0.001,0.001,0.04,0.001,0.152,0.788,0.002
PMS-340,M. sinensis,SE China/tropical,25.585,115.797,0.051,0.007,0.003,0.036,0.024,0.172,0.701,0.006
PMS-341,M. sinensis,SE China/tropical,25.494,115.766,0.03,0.022,0.009,0.043,0.002,0.134,0.755,0.006
PMS-342,M. sinensis,SE China/tropical,25.445,115.781,0.035,0,0.001,0.004,0.001,0.157,0.802,0
PMS-343,M. sinensis,SE China/tropical,25.407,115.78,0.009,0.001,0.003,0.052,0.011,0.099,0.824,0.001
PMS-345,M. sinensis,SE China/tropical,24.262,115.965,0.053,0.004,0.009,0.001,0.034,0.067,0.822,0.009
PMS-347,M. sinensis,SE China/tropical,24.168,115.884,0.031,0.005,0.025,0.007,0.03,0.068,0.83,0.004
PMS-349,M. sinensis,SE China/tropical,24.19,115.82,0,0.001,0.01,0.094,0.001,0.178,0.717,0
PMS-350,M. sinensis,SE China/tropical,24.118,115.658,0.003,0.011,0.001,0.012,0.034,0.075,0.856,0.007
PMS-352,M. sinensis,SE China/tropical,24.088,115.537,0.003,0.004,0.01,0,0.039,0.063,0.88,0
PMS-353,M. sinensis,SE China/tropical,24.074,115.486,0.003,0.002,0.022,0.002,0.024,0.102,0.843,0.001
PMS-354,M. sinensis,SE China/tropical,24.062,115.398,0.042,0.001,0.01,0.007,0.029,0.077,0.833,0.001
PMS-359,M. sinensis,SE China/tropical,22.913,112.337,0.03,0.001,0,0.004,0.11,0.084,0.762,0.008
PMS-364a,M. sinensis,SE China/tropical,22.514,112.196,0.047,0,0,0.003,0.116,0.023,0.811,0
PMS-368,M. sinensis,SE China/tropical,21.57,110.492,0.026,0.001,0.002,0.002,0.312,0.014,0.638,0.005
PMS-371,M. sinensis,SE China/tropical,20.7,110.055,0.001,0.001,0,0.001,0.332,0.004,0.661,0
PMS-372,M. sinensis,SE China/tropical,20.459,110.027,0.003,0.005,0.003,0,0.302,0.001,0.686,0.001
PMS-375,M. sinensis,SE China/tropical,19.63,110.291,0.001,0.001,0,0.004,0.317,0.023,0.65,0.005
PMS-381,M. sinensis,SE China/tropical,19.01,109.646,0.006,0.002,0.002,0.002,0.27,0.013,0.704,0.001
PMS-384,M. sinensis,SE China/tropical,18.665,109.583,0.027,0.002,0.012,0.001,0.302,0.011,0.638,0.007
PMS-389,M. sinensis,SE China/tropical,22.194,108.524,0.005,0,0.006,0.001,0.482,0.019,0.484,0.003
PMS-392,M. sinensis,SE China/tropical,22.394,108.381,0.002,0.005,0.002,0.007,0.002,0.054,0.905,0.025
PMS-396,M. sinensis,SE China/tropical,24.51,109.95,0.018,0.005,0.001,0.012,0.374,0.048,0.525,0.018
PMS-397,M. sinensis,SE China/tropical,24.405,109.98,0.021,0.001,0.003,0.004,0.296,0.058,0.607,0.01
PMS-398,M. sinensis,SE China/tropical,24.337,110.077,0.022,0.005,0.004,0.001,0.292,0.061,0.613,0.001
PMS-399,M. sinensis,SE China/tropical,24.395,110.131,0.002,0,0.001,0.002,0.328,0.08,0.586,0
PMS-400,M. sinensis,SE China/tropical,24.422,110.213,0,0.001,0,0.001,0.321,0.051,0.624,0
PMS-403,M. sinensis,SE China/tropical,24.65,110.43,0,0.025,0.001,0.005,0.296,0.054,0.617,0.001
PMS-404,M. sinensis,SE China/tropical,24.687,110.472,0.025,0.003,0.005,0.001,0.3,0.069,0.597,0.001
PMS-405,M. sinensis,SE China/tropical,26.242,111.454,0.004,0,0.008,0.046,0.157,0.277,0.504,0.004
PMS-406,M. sinensis,SE China/tropical,26.318,111.427,0.001,0.001,0.002,0.093,0.159,0.224,0.519,0
PMS-407,M. sinensis,SE China/tropical,26.373,111.374,0,0,0,0.07,0.153,0.259,0.517,0
PMS-409,M. sinensis,SE China/tropical,26.475,111.254,0.001,0.002,0.002,0.068,0.18,0.211,0.536,0
PMS-410,M. sinensis,SE China/tropical,26.56,111.222,0.001,0.001,0,0.073,0.225,0.178,0.519,0.003
PMS-411,M. sinensis,SE China/tropical,26.665,111.197,0.011,0.006,0.003,0.061,0.186,0.188,0.543,0.003
PMS-412,M. sinensis,SE China/tropical,26.749,111.151,0.001,0,0,0.048,0.137,0.272,0.542,0
PMS-413,M. sinensis,SE China/tropical,26.797,111.207,0.001,0.001,0,0.072,0.166,0.225,0.526,0.008
PMS-414,M. sinensis,SE China/tropical,27.002,111.283,0.001,0.001,0,0.094,0.172,0.213,0.52,0
PMS-416,M. sinensis,SE China/tropical,28.066,109.589,0.002,0.001,0,0.01,0.348,0.138,0.477,0.024
PMS-418,M. sinensis,SE China/tropical,28.237,109.678,0.011,0.025,0.001,0.008,0.369,0.136,0.441,0.008
PMS-424,M. sinensis,SE China/tropical,28.252,110.116,0.013,0.001,0,0.03,0.348,0.194,0.41,0.003
PMS-425,M. sinensis,Yangtze-Qinling,29.718,113.847,0.012,0.005,0.008,0.207,0,0.479,0.288,0.001
PMS-427,M. sinensis,Yangtze-Qinling,29.768,114.043,0,0.001,0,0.204,0,0.52,0.273,0
PMS-430,M. xgiganteus,M. xgiganteus 2x,29.898,114.292,0,0,0,0.001,0.023,0.001,0.418,0.558
PMS-433,M. sinensis,Yangtze-Qinling,30.125,114.352,0.002,0.005,0.007,0.225,0.002,0.486,0.245,0.029
PMS-436,M. sinensis,Korea/N China,41.317,123.738,0.003,0.002,0.001,0.777,0,0.209,0.006,0
PMS-438,M. sinensis,Korea/N China,41.329,123.69,0.003,0.001,0.005,0.763,0.001,0.207,0.016,0.003
