"","x"
"1",893592
"2",-463144
"3",989669
"4",221205
"5",335094
"6",820454
"7",-602351
"8",-870031
"9",53558
"10",-456690
"11",-785708
"12",135289
"13",637410
"14",-75273
"15",-751785
"16",904289
"17",245268
"18",125320
"19",-955545
"20",388484
"21",-710901
"22",774709
"23",-144432
"24",-845023
"25",78726
"26",462531
"27",667686
"28",-149366
"29",-465753
"30",423735
"31",-659577
"32",-391668
"33",608046
"34",-967117
"35",-182935
"36",-583486
"37",305864
"38",854308
"39",485521
"40",-321204
"41",398502
"42",-373056
"43",971264
"44",282422
"45",569785
"46",641123
"47",-520588
"48",-486133
"49",510569
"50",553445
"51",810706
"52",565877
"53",-356722
"54",374420
"55",252656
"56",-467499
"57",-450569
"58",-949342
"59",837708
"60",501443
"61",-634447
"62",-765265
"63",-167921
"64",-93371
"65",-877468
"66",-558784
"67",-953433
"68",-608410
"69",174800
"70",-323083
"71",-298089
"72",966936
"73",367538
"74",-56667
"75",-836840
"76",534269
"77",835087
"78",351133
"79",-774052
"80",183776
"81",-517513
"82",-467903
"83",-186827
"84",978523
"85",-824484
"86",165794
"87",-96164
"88",325668
"89",600721
"90",800742
"91",-827946
"92",-753519
"93",344000
"94",35147
"95",-20312
"96",344307
"97",935901
"98",260593
"99",-507034
"100",58130
