"","x"
"1",703085
"2",-997902
"3",-916707
"4",-455412
"5",-988360
"6",158795
"7",-303455
"8",563615
"9",325731
"10",876697
"11",-42938
"12",-44833
"13",254431
"14",-937789
"15",-978570
"16",-301034
"17",-244063
"18",-770357
"19",-533345
"20",638940
"21",51334
"22",83857
"23",114488
"24",571698
"25",703944
"26",51339
"27",-401868
"28",-168921
"29",623712
"30",250097
"31",-510853
"32",-368189
"33",-67816
"34",247754
"35",993168
"36",-537025
"37",-226265
"38",-189911
"39",-731218
"40",27519
"41",920991
"42",-658231
"43",-486873
"44",707703
"45",344318
"46",-170223
"47",292611
"48",-656004
"49",634240
"50",-539253
"51",741989
"52",152474
"53",889102
"54",414981
"55",480488
"56",294427
"57",-581813
"58",-610415
"59",-406927
"60",-269353
"61",-843849
"62",680950
"63",172174
"64",-865339
"65",874652
"66",-124374
"67",385493
"68",760135
"69",-345132
"70",-809915
"71",-238465
"72",676317
"73",620634
"74",-962972
"75",428275
"76",52245
"77",-99038
"78",-417221
"79",471506
"80",-859333
"81",-801356
"82",627067
"83",-396286
"84",775541
"85",879451
"86",698112
"87",10685
"88",107563
"89",825220
"90",-433042
"91",-473725
"92",638412
"93",908987
"94",-781719
"95",-782882
"96",437858
"97",-104722
"98",-921852
"99",173591
"100",-315380
