"","x"
"1",-1532
"2",318601
"3",419026
"4",-863962
"5",630462
"6",90314
"7",-98575
"8",536080
"9",443118
"10",-306648
"11",514873
"12",-985238
"13",711053
"14",-854346
"15",713386
"16",-571727
"17",612262
"18",866497
"19",315979
"20",387625
"21",-671356
"22",426079
"23",47603
"24",-205796
"25",-338198
"26",180994
"27",-733745
"28",-605888
"29",-793537
"30",18485
"31",179652
"32",604775
"33",-809527
"34",509602
"35",793530
"36",939391
"37",248827
"38",-531087
"39",-59790
"40",275910
"41",200521
"42",107840
"43",-479728
"44",161925
"45",-732135
"46",679842
"47",-259611
"48",731706
"49",-31850
"50",-541106
"51",-614522
"52",-166471
"53",-758256
"54",-692135
"55",104422
"56",-569226
"57",-694280
"58",-275157
"59",999739
"60",343339
"61",-120886
"62",375953
"63",128342
"64",-324664
"65",-738400
"66",-139877
"67",-938103
"68",108917
"69",493555
"70",-257623
"71",-313075
"72",-714138
"73",-535411
"74",446237
"75",66855
"76",735418
"77",-804363
"78",784724
"79",268238
"80",853345
"81",930553
"82",-805272
"83",105794
"84",-231855
"85",486276
"86",770443
"87",-202809
"88",32334
"89",486982
"90",397232
"91",-295082
"92",-131201
"93",977830
"94",504333
"95",361602
"96",-264252
"97",945099
"98",351689
"99",-180334
"100",718782
