"","x"
"1",-171904
"2",-28104
"3",-41281
"4",-190406
"5",-49565
"6",-238341
"7",-11912
"8",-136334
"9",113588
"10",-664901
"11",808701
"12",296560
"13",-603188
"14",-423856
"15",524910
"16",895313
"17",248243
"18",-593579
"19",59805
"20",-477575
"21",699039
"22",783980
"23",-384283
"24",-380627
"25",928820
"26",955270
"27",-379347
"28",-829346
"29",706434
"30",251024
"31",-418392
"32",-620035
"33",792533
"34",-23571
"35",10405
"36",-333488
"37",385498
"38",132116
"39",-537495
"40",251017
"41",835473
"42",595627
"43",-580621
"44",-825574
"45",911075
"46",901369
"47",151913
"48",-382057
"49",-703531
"50",628628
"51",-862132
"52",-721073
"53",425608
"54",719372
"55",885186
"56",138252
"57",578111
"58",-568762
"59",-254217
"60",914914
"61",150304
"62",-340167
"63",-986969
"64",54720
"65",588204
"66",-522651
"67",261122
"68",-304876
"69",-697611
"70",304535
"71",-478562
"72",150952
"73",-5995
"74",364475
"75",366266
"76",427450
"77",917696
"78",481477
"79",160957
"80",987846
"81",281774
"82",-553534
"83",-725249
"84",13202
"85",131780
"86",323616
"87",-863703
"88",-410308
"89",761566
"90",-546780
"91",-906220
"92",-309824
"93",-607415
"94",-163669
"95",-559148
"96",538858
"97",-767717
"98",464124
"99",-108460
"100",900070
