"","x"
"1",-339084
"2",596478
"3",-524058
"4",541014
"5",-923790
"6",952688
"7",-553056
"8",648288
"9",696201
"10",968061
"11",654206
"12",153995
"13",-334507
"14",-740196
"15",-515553
"16",-911097
"17",-893199
"18",619268
"19",232140
"20",636611
"21",-222401
"22",557395
"23",404246
"24",-742199
"25",-1465
"26",84421
"27",-773749
"28",-851812
"29",-902067
"30",176510
"31",303786
"32",-343357
"33",-927587
"34",-48648
"35",822528
"36",105792
"37",945642
"38",-332532
"39",-498643
"40",-169234
"41",354692
"42",-486041
"43",788415
"44",-90329
"45",701971
"46",-971803
"47",726333
"48",231799
"49",-701949
"50",-541488
"51",-222480
"52",75359
"53",-858376
"54",583390
"55",416415
"56",-418516
"57",-617459
"58",949338
"59",620254
"60",-686171
"61",916795
"62",639720
"63",599760
"64",782529
"65",712089
"66",469562
"67",-779651
"68",508230
"69",101811
"70",-224087
"71",259658
"72",-397145
"73",-159248
"74",796074
"75",341052
"76",562977
"77",-317740
"78",-46381
"79",945906
"80",-522795
"81",176233
"82",137225
"83",88914
"84",-657052
"85",813370
"86",-760313
"87",407402
"88",907761
"89",185972
"90",844316
"91",780983
"92",-82623
"93",-399161
"94",129823
"95",-114036
"96",-320265
"97",-219259
"98",-932272
"99",-72323
"100",-536635
