"","x"
"1",138101
"2",-99851
"3",433807
"4",589842
"5",908440
"6",899344
"7",-536105
"8",293158
"9",-619372
"10",683385
"11",783821
"12",588437
"13",419710
"14",-774811
"15",616203
"16",311598
"17",-69350
"18",191170
"19",905689
"20",82231
"21",510556
"22",429939
"23",813573
"24",-327721
"25",10059
"26",-300181
"27",325476
"28",-915333
"29",289366
"30",-217333
"31",503061
"32",203401
"33",432784
"34",59286
"35",-528914
"36",-272809
"37",-30614
"38",588088
"39",792999
"40",511035
"41",-157697
"42",145666
"43",365139
"44",687925
"45",-86965
"46",-10241
"47",-790250
"48",728662
"49",-581038
"50",10190
"51",574703
"52",874563
"53",-443438
"54",235872
"55",147267
"56",98206
"57",-393920
"58",974613
"59",-610762
"60",645766
"61",279252
"62",-197180
"63",948644
"64",810304
"65",-166220
"66",-470034
"67",-748825
"68",964352
"69",-394474
"70",-427976
"71",-998356
"72",-807552
"73",-429411
"74",46203
"75",-671726
"76",932386
"77",712859
"78",-768081
"79",433583
"80",75184
"81",564217
"82",107306
"83",779955
"84",332966
"85",-165070
"86",-289485
"87",888592
"88",-428604
"89",-250481
"90",974719
"91",654464
"92",-175070
"93",-783620
"94",153836
"95",302537
"96",460137
"97",-773774
"98",308144
"99",622995
"100",96285
