"","x"
"1",-949275
"2",-228251
"3",-461596
"4",-442940
"5",72393
"6",-378293
"7",-452552
"8",-308528
"9",78906
"10",-148191
"11",200990
"12",68340
"13",747187
"14",-488201
"15",-554152
"16",-539911
"17",830288
"18",801591
"19",-936815
"20",-747095
"21",903281
"22",-396345
"23",-165073
"24",-95907
"25",-477470
"26",-244436
"27",-756656
"28",-492975
"29",-671340
"30",-630591
"31",-10295
"32",-23767
"33",405902
"34",26565
"35",621707
"36",-859362
"37",438107
"38",-498999
"39",567785
"40",-259846
"41",-850524
"42",-533649
"43",913715
"44",586580
"45",-649471
"46",123929
"47",-576465
"48",-322691
"49",-531850
"50",681396
"51",110129
"52",564605
"53",-950719
"54",-488322
"55",-204449
"56",-900125
"57",929039
"58",-580294
"59",-695520
"60",-39714
"61",-609265
"62",-812697
"63",-445431
"64",-385569
"65",149006
"66",445425
"67",-623818
"68",-590771
"69",292319
"70",288328
"71",206895
"72",-544221
"73",149332
"74",848752
"75",-868409
"76",-873465
"77",-977647
"78",-147309
"79",378785
"80",-306649
"81",115183
"82",-624580
"83",949519
"84",-127534
"85",824383
"86",-350777
"87",-547988
"88",-324448
"89",683587
"90",-269026
"91",-121141
"92",538898
"93",-677278
"94",-919602
"95",490571
"96",587452
"97",-956362
"98",-634940
"99",-148652
"100",-203344
