"","x"
"1",83055
"2",177523
"3",-659310
"4",-663370
"5",-728379
"6",-458916
"7",-877677
"8",286599
"9",-784428
"10",858074
"11",436806
"12",-4343
"13",500359
"14",223546
"15",701945
"16",329169
"17",-665728
"18",895692
"19",-1981
"20",-252255
"21",453720
"22",557328
"23",-564643
"24",-386427
"25",-663430
"26",407785
"27",-927066
"28",629881
"29",846808
"30",67262
"31",-331309
"32",997685
"33",613292
"34",717598
"35",-164262
"36",-280319
"37",-375217
"38",313722
"39",-384419
"40",-620057
"41",-899829
"42",-566595
"43",455205
"44",616957
"45",615906
"46",-128919
"47",-524161
"48",116452
"49",763203
"50",-697060
"51",-760392
"52",651162
"53",-66988
"54",-839368
"55",77421
"56",934379
"57",-70306
"58",-806744
"59",843046
"60",598851
"61",-304138
"62",321838
"63",345265
"64",418797
"65",231412
"66",168172
"67",-751500
"68",-34266
"69",-30096
"70",-346919
"71",981073
"72",-580033
"73",507753
"74",964868
"75",8855
"76",-609373
"77",405935
"78",-61909
"79",-411568
"80",765373
"81",582367
"82",44226
"83",12453
"84",350701
"85",887643
"86",-515421
"87",415414
"88",345440
"89",-931064
"90",-762422
"91",179693
"92",920860
"93",-519553
"94",-812051
"95",674261
"96",316168
"97",-438913
"98",-492300
"99",765407
"100",-383187
