"","x"
"1",619268
"2",232140
"3",-451900
"4",-763932
"5",923387
"6",380575
"7",-779862
"8",-722400
"9",-726822
"10",841401
"11",-205670
"12",-102150
"13",130373
"14",-936326
"15",-173819
"16",128167
"17",-25169
"18",284624
"19",947732
"20",-198722
"21",397216
"22",-44300
"23",935137
"24",350373
"25",355254
"26",-387133
"27",937447
"28",136920
"29",368504
"30",803189
"31",-36094
"32",373575
"33",475411
"34",920557
"35",861774
"36",-943970
"37",-841054
"38",463185
"39",200666
"40",855524
"41",496661
"42",624647
"43",-609146
"44",565436
"45",256368
"46",277901
"47",-713859
"48",-236731
"49",-474133
"50",203679
"51",702060
"52",943874
"53",-271839
"54",560111
"55",359212
"56",-188542
"57",85048
"58",539505
"59",469970
"60",-965613
"61",770566
"62",-499163
"63",551942
"64",484509
"65",-22285
"66",444861
"67",614965
"68",440852
"69",410424
"70",-217386
"71",392043
"72",883757
"73",950161
"74",-720528
"75",837166
"76",19330
"77",454062
"78",160553
"79",-663438
"80",-46093
"81",-904293
"82",-208101
"83",-141440
"84",491254
"85",781994
"86",672888
"87",735429
"88",-388058
"89",907801
"90",-496614
"91",248055
"92",445162
"93",385001
"94",-205221
"95",123039
"96",-91671
"97",599518
"98",803262
"99",604466
"100",181406
