"","x"
"1",-93438
"2",434576
"3",-599313
"4",-25015
"5",-936825
"6",-911493
"7",686185
"8",-495264
"9",358874
"10",308062
"11",98335
"12",635087
"13",-593925
"14",829346
"15",-574719
"16",-890429
"17",-587937
"18",-855767
"19",-437471
"20",526767
"21",254146
"22",545967
"23",-481953
"24",167079
"25",351271
"26",74902
"27",322882
"28",-890886
"29",457973
"30",-448711
"31",355489
"32",-205090
"33",-91748
"34",842861
"35",-897811
"36",-874383
"37",78256
"38",-917915
"39",-233588
"40",-839322
"41",15057
"42",-586272
"43",-873021
"44",-901137
"45",-744306
"46",172283
"47",512032
"48",738339
"49",647072
"50",-966590
"51",-965613
"52",512995
"53",-415695
"54",-575243
"55",450532
"56",-185765
"57",707287
"58",-576300
"59",-816374
"60",61114
"61",141284
"62",-164691
"63",-421548
"64",-254859
"65",-824194
"66",189215
"67",-578570
"68",-274547
"69",-782256
"70",327532
"71",-884709
"72",-745407
"73",-331298
"74",-41653
"75",-100669
"76",-531278
"77",394989
"78",498651
"79",-202177
"80",-621989
"81",-138746
"82",324534
"83",-395258
"84",-71954
"85",383996
"86",363430
"87",-960436
"88",-470157
"89",-166930
"90",-497569
"91",-676638
"92",-844946
"93",852915
"94",-342798
"95",-490868
"96",-318149
"97",963266
"98",-385765
"99",-419386
"100",470018
