"","x"
"1",-698347
"2",239699
"3",600959
"4",646522
"5",498774
"6",484456
"7",-652009
"8",628187
"9",-6932
"10",772611
"11",727219
"12",-743958
"13",136629
"14",-592967
"15",802337
"16",-856160
"17",-162110
"18",-832950
"19",-240463
"20",-905487
"21",-326196
"22",142100
"23",183299
"24",28854
"25",578315
"26",-637370
"27",-887184
"28",826528
"29",587703
"30",345293
"31",-600209
"32",-509040
"33",-331205
"34",29346
"35",-223789
"36",153549
"37",-653040
"38",727298
"39",445390
"40",617837
"41",62834
"42",708072
"43",402137
"44",726268
"45",-452135
"46",388924
"47",857840
"48",708770
"49",785051
"50",-524601
"51",486611
"52",875375
"53",757355
"54",512431
"55",861432
"56",131122
"57",787742
"58",-519463
"59",147402
"60",-113043
"61",-743467
"62",316931
"63",-286231
"64",-842485
"65",-482449
"66",943935
"67",979341
"68",-261099
"69",232515
"70",-237912
"71",-834199
"72",-403363
"73",380178
"74",835482
"75",7727
"76",-257118
"77",-923006
"78",-628690
"79",-815966
"80",-917183
"81",-991688
"82",43225
"83",-477356
"84",894150
"85",-248045
"86",940124
"87",-88695
"88",598923
"89",710175
"90",247117
"91",-866480
"92",709123
"93",166471
"94",189102
"95",-907724
"96",680961
"97",836087
"98",369149
"99",255304
"100",-948755
