"","x"
"1",449871
"2",69763
"3",-923654
"4",791049
"5",279680
"6",318946
"7",-329096
"8",463477
"9",-636887
"10",430930
"11",-194493
"12",-225809
"13",787178
"14",539912
"15",327480
"16",-641245
"17",481262
"18",-378257
"19",843844
"20",935227
"21",102280
"22",-319705
"23",280496
"24",739160
"25",110309
"26",-720787
"27",-877142
"28",-780381
"29",-802305
"30",-680341
"31",254919
"32",472631
"33",83154
"34",-236680
"35",-654814
"36",-936401
"37",-218787
"38",-486326
"39",-587446
"40",752614
"41",648184
"42",335489
"43",-895419
"44",-88373
"45",955191
"46",551742
"47",850371
"48",-486630
"49",947495
"50",-156234
"51",-314408
"52",966978
"53",515668
"54",-74724
"55",894660
"56",-834337
"57",-429502
"58",975733
"59",509849
"60",-427710
"61",-450232
"62",-645570
"63",-99945
"64",97626
"65",-304433
"66",-971808
"67",-994353
"68",152627
"69",375477
"70",-655468
"71",579501
"72",-592796
"73",324412
"74",323111
"75",-541797
"76",432745
"77",-702978
"78",-255834
"79",540737
"80",159018
"81",502250
"82",-71578
"83",588581
"84",254623
"85",-862452
"86",733335
"87",705889
"88",-584088
"89",-828382
"90",243138
"91",-354282
"92",-879753
"93",795294
"94",684330
"95",379361
"96",309060
"97",-920601
"98",596709
"99",-473700
"100",-390867
