"","x"
"1",522005
"2",-254365
"3",410977
"4",-346234
"5",-762535
"6",613963
"7",-100987
"8",86601
"9",-135995
"10",-334983
"11",-820162
"12",-761419
"13",-235662
"14",76319
"15",320418
"16",867330
"17",-162524
"18",9944
"19",-188928
"20",64458
"21",456869
"22",214524
"23",-728488
"24",-49164
"25",635028
"26",-186838
"27",131305
"28",225791
"29",-935883
"30",895995
"31",575640
"32",124609
"33",-96787
"34",-797691
"35",59654
"36",111214
"37",758539
"38",481949
"39",-482319
"40",-943803
"41",485097
"42",741084
"43",-844459
"44",-228470
"45",-67662
"46",661365
"47",-857802
"48",-597244
"49",310300
"50",-456935
"51",-717409
"52",10306
"53",630669
"54",618574
"55",707193
"56",484638
"57",191047
"58",-174927
"59",-859796
"60",-698614
"61",-713422
"62",898679
"63",-120478
"64",736612
"65",429778
"66",-975817
"67",-683408
"68",-729609
"69",-569537
"70",-501354
"71",337686
"72",-960228
"73",-845247
"74",-455624
"75",747922
"76",18580
"77",-171362
"78",-914935
"79",-586477
"80",-340211
"81",685237
"82",231110
"83",977828
"84",603627
"85",-227941
"86",-498527
"87",-134375
"88",302027
"89",-584751
"90",51466
"91",770940
"92",614441
"93",-258034
"94",645507
"95",716639
"96",-444416
"97",-438500
"98",781668
"99",908436
"100",296654
