"","x"
"1",-752956
"2",906297
"3",894792
"4",-223265
"5",-211697
"6",-903801
"7",-460897
"8",906389
"9",740461
"10",-408641
"11",78456
"12",-408082
"13",-473776
"14",213066
"15",740826
"16",-202870
"17",455308
"18",-130361
"19",481846
"20",-12163
"21",-338117
"22",290608
"23",354624
"24",907006
"25",-367684
"26",-444437
"27",-183852
"28",-918328
"29",125399
"30",649011
"31",184705
"32",-83037
"33",-380049
"34",-671267
"35",-395256
"36",-902202
"37",-774068
"38",114343
"39",841628
"40",-524374
"41",595503
"42",178429
"43",-870735
"44",-726935
"45",188712
"46",995888
"47",808276
"48",260998
"49",630691
"50",-751853
"51",-252980
"52",702001
"53",-209743
"54",169827
"55",-999752
"56",-433936
"57",-132380
"58",761709
"59",-394556
"60",248028
"61",-550074
"62",-523625
"63",151005
"64",-327277
"65",553448
"66",215193
"67",12146
"68",898978
"69",-538144
"70",-622787
"71",550835
"72",-884823
"73",-743445
"74",-509201
"75",-547366
"76",-860155
"77",-396123
"78",-404664
"79",-305583
"80",-676681
"81",759695
"82",210542
"83",152261
"84",733170
"85",-569957
"86",279899
"87",819010
"88",-230591
"89",8710
"90",417028
"91",12520
"92",-626513
"93",275262
"94",612010
"95",262706
"96",-854909
"97",-128684
"98",-661359
"99",-539100
"100",912090
