"","x"
"1",-531087
"2",-59790
"3",275910
"4",200521
"5",107840
"6",-479728
"7",161925
"8",-732135
"9",679842
"10",-259611
"11",731706
"12",-31850
"13",-541106
"14",-614522
"15",-166471
"16",-758256
"17",-692135
"18",104422
"19",-569226
"20",-694280
"21",-275157
"22",999739
"23",343339
"24",-120886
"25",375953
"26",128342
"27",-324664
"28",-738400
"29",-139877
"30",-938103
"31",108917
"32",493555
"33",-257623
"34",-313075
"35",-714138
"36",-535411
"37",446237
"38",66855
"39",735418
"40",-804363
"41",784724
"42",268238
"43",853345
"44",930553
"45",-805272
"46",105794
"47",-231855
"48",486276
"49",770443
"50",-202809
"51",32334
"52",486982
"53",397232
"54",-295082
"55",-131201
"56",977830
"57",504333
"58",361602
"59",-264252
"60",945099
"61",351689
"62",-180334
"63",718782
"64",575379
"65",927104
"66",195692
"67",-834895
"68",-822730
"69",437679
"70",190996
"71",-35765
"72",917846
"73",-612536
"74",-990492
"75",-721862
"76",-751874
"77",-656142
"78",-884118
"79",-53686
"80",-932757
"81",-683262
"82",837969
"83",-996606
"84",-669764
"85",-282415
"86",932374
"87",113501
"88",-990444
"89",107858
"90",345062
"91",258426
"92",-996607
"93",-540446
"94",208346
"95",721820
"96",-707226
"97",962732
"98",-35775
"99",229414
"100",788979
