"","x"
"1",582513
"2",-724341
"3",200992
"4",-528109
"5",-982614
"6",-899269
"7",580606
"8",887176
"9",530369
"10",-319029
"11",134561
"12",-493793
"13",735766
"14",-569370
"15",-541632
"16",479843
"17",-515673
"18",-849459
"19",-279162
"20",532586
"21",-934804
"22",919104
"23",729498
"24",-145268
"25",851469
"26",405032
"27",486314
"28",-437752
"29",960346
"30",-833094
"31",-67036
"32",-397607
"33",-992453
"34",-855926
"35",-583585
"36",381045
"37",-239337
"38",-356935
"39",62055
"40",-462047
"41",658920
"42",-596730
"43",802823
"44",-513809
"45",-356269
"46",-220594
"47",-225863
"48",683199
"49",-546995
"50",-216728
"51",523656
"52",-431324
"53",929201
"54",-549202
"55",410021
"56",-153082
"57",442305
"58",-602238
"59",-811728
"60",274052
"61",487599
"62",-825764
"63",-243780
"64",-301093
"65",96163
"66",732297
"67",-344681
"68",-169227
"69",945498
"70",-601853
"71",572373
"72",411473
"73",981163
"74",-710645
"75",-108627
"76",820637
"77",399830
"78",613868
"79",461432
"80",-959032
"81",-206003
"82",428290
"83",-542138
"84",-96759
"85",677629
"86",422434
"87",446882
"88",-167601
"89",127792
"90",900562
"91",247055
"92",-45175
"93",210216
"94",383587
"95",217253
"96",-707299
"97",-855092
"98",-641062
"99",466624
"100",-887580
