"","x"
"1",-332532
"2",-498643
"3",-169234
"4",354692
"5",-486041
"6",788415
"7",-90329
"8",701971
"9",-971803
"10",726333
"11",231799
"12",-701949
"13",-541488
"14",-222480
"15",75359
"16",-858376
"17",583390
"18",416415
"19",-418516
"20",-617459
"21",949338
"22",620254
"23",-686171
"24",916795
"25",639720
"26",599760
"27",782529
"28",712089
"29",469562
"30",-779651
"31",508230
"32",101811
"33",-224087
"34",259658
"35",-397145
"36",-159248
"37",796074
"38",341052
"39",562977
"40",-317740
"41",-46381
"42",945906
"43",-522795
"44",176233
"45",137225
"46",88914
"47",-657052
"48",813370
"49",-760313
"50",407402
"51",907761
"52",185972
"53",844316
"54",780983
"55",-82623
"56",-399161
"57",129823
"58",-114036
"59",-320265
"60",-219259
"61",-932272
"62",-72323
"63",-536635
"64",640834
"65",41188
"66",-947445
"67",671948
"68",-296610
"69",-816660
"70",-433260
"71",-363727
"72",-163620
"73",403932
"74",983860
"75",391887
"76",-878161
"77",-829593
"78",-168934
"79",-198975
"80",855519
"81",-570640
"82",-618761
"83",-25673
"84",-822614
"85",-787278
"86",899508
"87",809143
"88",157154
"89",-800255
"90",-626784
"91",-107492
"92",-318090
"93",-687920
"94",-395413
"95",969856
"96",233028
"97",-310466
"98",-959811
"99",255988
"100",565626
