"","x"
"1",0.306253523655404
"2",0.392257054521383
"3",0.387686116797182
"4",0.373358946024915
"5",0.394420612569656
"6",0.378178340813005
"7",0.411198112068542
"8",0.40694311051356
"9",0.375450900663479
"10",0.38560961049312
"11",0.387639183330243
"12",0.371543419218677
"13",0.419809783495616
"14",0.369811038490913
"15",0.38119598711706
"16",0.363283224830694
"17",0.389694133395495
"18",0.409986554354083
"19",0.360158110773767
"20",0.378917498201783
"21",0.257792029747201
"22",0.300289872757815
"23",0.347876936209662
"24",0.365257156891344
"25",0.394514375989167
"26",0.333698585094552
"27",0.363438058666867
"28",0.366525583724507
"29",0.379113005059761
"30",0.386699686685462
"31",0.40572827945481
"32",0.408656597136277
"33",0.402478221532582
"34",0.377972163899929
"35",0.288222095496307
"36",0.335675647843652
"37",0.360182835286665
"38",0.297377100951141
"39",0.384328838045472
"40",0.343158609212702
"41",0.362164998598356
"42",0.378018010062647
"43",0.348694976972506
"44",0.375084697435716
"45",0.380835786118619
"46",0.378426206334812
"47",0.326803059556649
"48",0.36736388688564
"49",0.262943737885558
"50",0.399963410403893
"51",0.3857752016983
"52",0.389833878277713
"53",0.356457087225707
"54",0.392794015496605
"55",0.398064702176501
"56",0.361285605339951
"57",0.39772645333054
"58",0.361554709912231
"59",0.381522688546207
"60",0.328523678661632
"61",0.360099110392341
"62",0.388766791263293
"63",0.304283761708569
"64",0.377302863999103
"65",0.294452623814285
"66",0.376090130032905
"67",0.303164376602367
"68",0.374608398159178
"69",0.431646953078284
"70",0.364623706725636
"71",0.388236379543877
"72",0.294552621420034
"73",0.354996449077989
"74",0.40921170771602
"75",0.396563224491851
"76",0.397559861230452
"77",0.309805251417731
"78",0.390280031792596
"79",0.398437672448045
"80",0.392430181841653
"81",0.363484085106067
"82",0.38463474117776
"83",0.419515838128865
"84",0.418110331603693
"85",0.407564466156262
"86",0.390866036631026
"87",0.371849649734752
"88",0.39677643977393
"89",0.384479820222393
"90",0.3379820586484
"91",0.328961916213779
"92",0.277611361050624
"93",0.394158440446289
"94",0.347235554072966
"95",0.378915971846459
"96",0.417478023100924
"97",0.370725602132118
"98",0.418099912826915
"99",0.410251480382116
"100",0.382295260831902
