"","x"
"1",132116
"2",-537495
"3",251017
"4",835473
"5",595627
"6",-580621
"7",-825574
"8",911075
"9",901369
"10",151913
"11",-382057
"12",-703531
"13",628628
"14",-862132
"15",-721073
"16",425608
"17",719372
"18",885186
"19",138252
"20",578111
"21",-568762
"22",-254217
"23",914914
"24",150304
"25",-340167
"26",-986969
"27",54720
"28",588204
"29",-522651
"30",261122
"31",-304876
"32",-697611
"33",304535
"34",-478562
"35",150952
"36",-5995
"37",364475
"38",366266
"39",427450
"40",917696
"41",481477
"42",160957
"43",987846
"44",281774
"45",-553534
"46",-725249
"47",13202
"48",131780
"49",323616
"50",-863703
"51",-410308
"52",761566
"53",-546780
"54",-906220
"55",-309824
"56",-607415
"57",-163669
"58",-559148
"59",538858
"60",-767717
"61",464124
"62",-108460
"63",900070
"64",-621438
"65",-922990
"66",750576
"67",-41994
"68",-667294
"69",319353
"70",-293848
"71",616967
"72",-282502
"73",-576045
"74",28913
"75",-521771
"76",-289155
"77",131569
"78",-681126
"79",-787405
"80",975966
"81",-88239
"82",-703314
"83",-615715
"84",-806375
"85",671405
"86",-951660
"87",-869741
"88",-225227
"89",894586
"90",265772
"91",-506112
"92",638768
"93",-203318
"94",439473
"95",-347924
"96",966212
"97",153107
"98",-839933
"99",962290
"100",624773
