"","x"
"1",-373056
"2",971264
"3",-732254
"4",265019
"5",706991
"6",101068
"7",-732392
"8",607608
"9",390419
"10",-468493
"11",-988462
"12",-720047
"13",634360
"14",-885612
"15",850911
"16",-358478
"17",-56115
"18",196570
"19",460458
"20",-129779
"21",439566
"22",942461
"23",-490002
"24",-870910
"25",926427
"26",59686
"27",-429557
"28",-474021
"29",202093
"30",564830
"31",-625207
"32",-881699
"33",-96944
"34",794940
"35",-21853
"36",852805
"37",159567
"38",-218241
"39",-516904
"40",-434089
"41",-4125
"42",687861
"43",508319
"44",-538903
"45",67316
"46",-214543
"47",-769344
"48",-689625
"49",-98058
"50",582977
"51",-262922
"52",-310060
"53",134767
"54",512160
"55",27988
"56",436956
"57",628797
"58",-866081
"59",506903
"60",16728
"61",529082
"62",897895
"63",883132
"64",962809
"65",-49240
"66",896694
"67",123319
"68",853967
"69",-297823
"70",953887
"71",-476361
"72",996161
"73",916390
"74",951679
"75",-740394
"76",-374642
"77",-714052
"78",-312537
"79",-462006
"80",515864
"81",326334
"82",-225829
"83",-447134
"84",928960
"85",-81490
"86",-316754
"87",-947271
"88",859871
"89",-294807
"90",-510361
"91",572544
"92",228833
"93",99105
"94",-510563
"95",290494
"96",-426084
"97",613831
"98",182346
"99",15225
"100",561097
