"","x"
"1",-710037
"2",211237
"3",763759
"4",411567
"5",219054
"6",602065
"7",997336
"8",711398
"9",732491
"10",-730979
"11",481441
"12",545915
"13",-137182
"14",-455379
"15",85080
"16",-614140
"17",-601950
"18",312822
"19",-925213
"20",-697848
"21",523981
"22",-769805
"23",-779958
"24",-523697
"25",661720
"26",-574997
"27",-57769
"28",-865739
"29",191344
"30",-628940
"31",370155
"32",661399
"33",-278024
"34",320567
"35",-298948
"36",-687712
"37",926770
"38",-128182
"39",162325
"40",-950845
"41",100271
"42",-422421
"43",583409
"44",264019
"45",-306286
"46",438736
"47",-117796
"48",-780310
"49",-857414
"50",434368
"51",-437153
"52",522374
"53",-860408
"54",697835
"55",-212993
"56",-836589
"57",455076
"58",-864628
"59",184615
"60",-112889
"61",-122474
"62",-726848
"63",-206081
"64",941705
"65",769751
"66",-971207
"67",624166
"68",208205
"69",352498
"70",-454058
"71",-681859
"72",-784752
"73",-301919
"74",993260
"75",-197271
"76",634605
"77",-246774
"78",-390496
"79",209913
"80",712575
"81",-233902
"82",443870
"83",-314265
"84",-93354
"85",820005
"86",-319673
"87",648096
"88",-897671
"89",-913757
"90",-138532
"91",-729608
"92",-586400
"93",908012
"94",425440
"95",68312
"96",-531804
"97",-475267
"98",-355007
"99",129826
"100",-114082
