"","x"
"1",-172474
"2",698699
"3",741058
"4",818807
"5",54683
"6",-37680
"7",218185
"8",-296896
"9",-246188
"10",-845538
"11",972494
"12",-746335
"13",-593898
"14",297188
"15",32140
"16",906554
"17",715825
"18",391104
"19",-804816
"20",-789329
"21",816890
"22",340303
"23",5099
"24",-62369
"25",-469282
"26",165316
"27",653354
"28",393523
"29",354566
"30",524145
"31",-138711
"32",-51365
"33",-354116
"34",-314845
"35",585455
"36",985671
"37",-924603
"38",47087
"39",998723
"40",-395635
"41",-424998
"42",-855156
"43",-258932
"44",-836498
"45",969491
"46",245887
"47",839261
"48",-182120
"49",136471
"50",411513
"51",9612
"52",-116198
"53",-166616
"54",655985
"55",821660
"56",7757
"57",-141861
"58",-143028
"59",-59886
"60",-969454
"61",205314
"62",-972059
"63",-889520
"64",-102818
"65",901817
"66",-184643
"67",759508
"68",427273
"69",-573810
"70",-550327
"71",-202914
"72",963028
"73",-519610
"74",737182
"75",788649
"76",127355
"77",690704
"78",-491347
"79",-492163
"80",-413656
"81",-51652
"82",-11414
"83",185561
"84",678240
"85",410695
"86",613191
"87",-695821
"88",-233747
"89",-958865
"90",-297709
"91",-488488
"92",-281903
"93",300414
"94",-780476
"95",-380201
"96",-106909
"97",-479504
"98",-305038
"99",-170350
"100",467481
