"","x"
"1",389004
"2",85082
"3",954779
"4",-653819
"5",117923
"6",895722
"7",-343542
"8",-116659
"9",248374
"10",-733057
"11",-871433
"12",190453
"13",-977219
"14",-912156
"15",553256
"16",-894688
"17",905971
"18",187213
"19",648896
"20",-962416
"21",-399528
"22",656511
"23",-412218
"24",-991421
"25",759183
"26",892712
"27",105102
"28",695196
"29",288013
"30",494096
"31",-20638
"32",871229
"33",-16196
"34",341855
"35",-18613
"36",535779
"37",260016
"38",-937400
"39",-895318
"40",244208
"41",854280
"42",-982292
"43",191698
"44",-620010
"45",-316424
"46",-20169
"47",392877
"48",-208302
"49",-84764
"50",982733
"51",-387519
"52",753662
"53",819426
"54",-188245
"55",-438087
"56",688600
"57",684903
"58",-612751
"59",-136554
"60",698664
"61",63368
"62",11584
"63",-68657
"64",-194
"65",374074
"66",-836223
"67",-807566
"68",996137
"69",613051
"70",771285
"71",-829781
"72",372636
"73",962667
"74",814111
"75",-857009
"76",206600
"77",-673505
"78",-887851
"79",320599
"80",-679787
"81",-280096
"82",947124
"83",173542
"84",-931593
"85",-563249
"86",448661
"87",-280132
"88",967573
"89",377738
"90",-410798
"91",-663166
"92",-71079
"93",-753767
"94",-549374
"95",386394
"96",599793
"97",-228353
"98",969168
"99",951774
"100",884302
