"","x"
"1",483539
"2",-546878
"3",-702275
"4",825690
"5",435730
"6",-880810
"7",278225
"8",-129033
"9",-786984
"10",-16856
"11",-667295
"12",-513570
"13",-957242
"14",684880
"15",560469
"16",466643
"17",-843020
"18",958143
"19",869288
"20",151476
"21",-224301
"22",811944
"23",-982566
"24",831455
"25",-792386
"26",400146
"27",-761794
"28",-518506
"29",473115
"30",-643900
"31",-17481
"32",424027
"33",-658083
"34",-709556
"35",-146835
"36",-261309
"37",-539938
"38",-820995
"39",-641873
"40",516702
"41",-624480
"42",405975
"43",637464
"44",-256097
"45",-474845
"46",227365
"47",-853000
"48",-728863
"49",119409
"50",-177896
"51",-159121
"52",-36115
"53",-109585
"54",474321
"55",-222202
"56",96913
"57",986222
"58",998733
"59",862282
"60",-41423
"61",692347
"62",341008
"63",-716109
"64",50403
"65",88270
"66",-568568
"67",-862832
"68",382420
"69",-542584
"70",651446
"71",-968725
"72",782886
"73",57494
"74",-23896
"75",985441
"76",-700877
"77",838454
"78",6882
"79",420086
"80",931506
"81",491859
"82",-747720
"83",455697
"84",-524148
"85",-779022
"86",269057
"87",873006
"88",-662432
"89",-709795
"90",773044
"91",135444
"92",-725493
"93",-8727
"94",-433982
"95",443749
"96",-640898
"97",706660
"98",34341
"99",-524473
"100",873981
