"","x"
"1",175805
"2",966299
"3",942241
"4",689823
"5",576741
"6",894429
"7",606689
"8",-349011
"9",751264
"10",697593
"11",878542
"12",-55718
"13",-35300
"14",-30929
"15",127024
"16",878848
"17",-55644
"18",786048
"19",-451980
"20",-197376
"21",-898503
"22",-614045
"23",687561
"24",-388740
"25",243281
"26",-674233
"27",172042
"28",-641995
"29",135593
"30",985286
"31",189106
"32",226070
"33",866795
"34",437925
"35",-945618
"36",-110246
"37",-593885
"38",-621671
"39",-174625
"40",-220421
"41",465229
"42",-620191
"43",-400373
"44",-943520
"45",-841618
"46",186804
"47",938482
"48",497425
"49",462532
"50",679905
"51",-714072
"52",-401718
"53",745066
"54",917202
"55",237294
"56",-726514
"57",-150027
"58",929669
"59",132926
"60",978735
"61",-130501
"62",-860574
"63",935589
"64",-476842
"65",-52286
"66",438650
"67",-697065
"68",-710575
"69",7848
"70",-876860
"71",509663
"72",-47085
"73",-243350
"74",171093
"75",-202142
"76",-253543
"77",374555
"78",-799968
"79",-636908
"80",160089
"81",218128
"82",345505
"83",367254
"84",-251457
"85",-931050
"86",312595
"87",720806
"88",-551471
"89",-749861
"90",773581
"91",-468067
"92",636979
"93",63060
"94",-164232
"95",-59873
"96",939038
"97",-693076
"98",309142
"99",747931
"100",-365105
