"","x"
"1",598833
"2",791085
"3",587326
"4",-67865
"5",-420137
"6",297444
"7",435283
"8",151592
"9",75923
"10",-951677
"11",919062
"12",-276245
"13",146765
"14",632533
"15",-87762
"16",461739
"17",920530
"18",-375688
"19",550284
"20",-907331
"21",602687
"22",-561388
"23",366116
"24",854916
"25",54504
"26",-915927
"27",-76265
"28",-131570
"29",-315545
"30",746180
"31",317649
"32",-273999
"33",397517
"34",884012
"35",108741
"36",231213
"37",-93317
"38",738533
"39",113239
"40",-174318
"41",245371
"42",105406
"43",-343089
"44",730229
"45",309353
"46",51514
"47",-632408
"48",-79539
"49",466745
"50",-616269
"51",-110465
"52",520977
"53",170617
"54",68815
"55",279427
"56",100162
"57",712096
"58",214235
"59",338616
"60",-61204
"61",-893877
"62",533219
"63",-635260
"64",538366
"65",-762785
"66",-473593
"67",846928
"68",50935
"69",-806124
"70",462536
"71",161451
"72",514215
"73",599687
"74",-827491
"75",-221552
"76",-902486
"77",-115697
"78",301569
"79",972132
"80",294740
"81",480455
"82",634878
"83",-279370
"84",-94762
"85",-786314
"86",-512708
"87",440153
"88",-451152
"89",887007
"90",-825426
"91",-914897
"92",150506
"93",-860431
"94",969574
"95",425696
"96",-678821
"97",-996803
"98",-895929
"99",101567
"100",158009
