"","x"
"1",-113600
"2",-287660
"3",-783715
"4",-21244
"5",512050
"6",-351974
"7",666704
"8",538388
"9",-476992
"10",154959
"11",431830
"12",-138974
"13",880338
"14",842457
"15",124974
"16",8524
"17",-436282
"18",559040
"19",346290
"20",343704
"21",200836
"22",-94234
"23",-72081
"24",856347
"25",-491263
"26",-157616
"27",532256
"28",788886
"29",-343798
"30",-12509
"31",239433
"32",-105247
"33",899615
"34",-804933
"35",352750
"36",638877
"37",348501
"38",-289706
"39",-144101
"40",149478
"41",436032
"42",-199965
"43",-869268
"44",-874887
"45",-907756
"46",-734032
"47",-52040
"48",-230107
"49",-654950
"50",-41932
"51",-53281
"52",-543268
"53",-224352
"54",-808324
"55",222678
"56",229619
"57",558564
"58",703160
"59",-68988
"60",-89973
"61",-116761
"62",864795
"63",577112
"64",658772
"65",-844205
"66",-796480
"67",-697632
"68",-677370
"69",-809495
"70",289257
"71",-58488
"72",520700
"73",-440860
"74",-144915
"75",171439
"76",968762
"77",-609584
"78",305530
"79",25441
"80",840189
"81",688367
"82",-685624
"83",-527762
"84",-453085
"85",-624059
"86",-710022
"87",822886
"88",28740
"89",320556
"90",-26907
"91",-137278
"92",438098
"93",-491644
"94",-234758
"95",-169129
"96",-561705
"97",927856
"98",615171
"99",486320
"100",688972
