"","x"
"1",509420
"2",249178
"3",704937
"4",-640474
"5",758858
"6",-63684
"7",410317
"8",473408
"9",640364
"10",-446454
"11",-221582
"12",504157
"13",687593
"14",977557
"15",798010
"16",-602328
"17",651974
"18",958204
"19",13164
"20",-39990
"21",107940
"22",682738
"23",151603
"24",-546642
"25",76880
"26",533737
"27",943332
"28",41251
"29",903756
"30",171459
"31",148784
"32",308516
"33",-428890
"34",234577
"35",135204
"36",-361790
"37",-576834
"38",695744
"39",-164152
"40",455653
"41",-636391
"42",-998891
"43",909790
"44",-479030
"45",-449944
"46",-487423
"47",-904935
"48",-638167
"49",704653
"50",238197
"51",-307660
"52",392792
"53",-451436
"54",809401
"55",-67838
"56",-608804
"57",-866091
"58",-504997
"59",146742
"60",661998
"61",730198
"62",179688
"63",-823004
"64",310208
"65",-825916
"66",434469
"67",-632848
"68",588886
"69",-20521
"70",-263721
"71",726796
"72",-927632
"73",-702808
"74",-957751
"75",450901
"76",-617316
"77",429135
"78",399280
"79",-132878
"80",-550458
"81",565082
"82",279441
"83",-547708
"84",721917
"85",-119781
"86",889545
"87",-365075
"88",445297
"89",869332
"90",498449
"91",661713
"92",-789082
"93",351349
"94",907175
"95",46400
"96",-26534
"97",48562
"98",-588944
"99",-449029
"100",-66781
