"","x"
"1",-840943
"2",-421598
"3",-258468
"4",-97008
"5",167941
"6",707735
"7",-314798
"8",898608
"9",104555
"10",722334
"11",302356
"12",860758
"13",918845
"14",-423224
"15",126410
"16",10041
"17",100229
"18",-829909
"19",857404
"20",-674480
"21",-265637
"22",904501
"23",456075
"24",761716
"25",983365
"26",-878055
"27",-900644
"28",159381
"29",916412
"30",130018
"31",-656087
"32",207320
"33",275585
"34",-249334
"35",358628
"36",998426
"37",194530
"38",-587609
"39",-634040
"40",974235
"41",335781
"42",69694
"43",563973
"44",-890008
"45",-682085
"46",-817127
"47",-791455
"48",-76807
"49",-816376
"50",626386
"51",-24326
"52",485241
"53",221448
"54",-677229
"55",-977343
"56",-983704
"57",937082
"58",-302302
"59",-64097
"60",261996
"61",960524
"62",324908
"63",202309
"64",-237053
"65",125077
"66",-608464
"67",145326
"68",138453
"69",931130
"70",-847354
"71",-692404
"72",-138293
"73",592512
"74",-510249
"75",861164
"76",777410
"77",543126
"78",-497302
"79",548908
"80",-200400
"81",742781
"82",4709
"83",-698640
"84",-683523
"85",821917
"86",168666
"87",107430
"88",993810
"89",-952135
"90",-862109
"91",573445
"92",-945978
"93",-532946
"94",-881860
"95",-527945
"96",962924
"97",526354
"98",432984
"99",559239
"100",935610
