"","x"
"1",146031
"2",-476583
"3",-191466
"4",-703766
"5",214409
"6",-238350
"7",795804
"8",-302965
"9",-560696
"10",256532
"11",730143
"12",190356
"13",44521
"14",-50462
"15",-275550
"16",340459
"17",-581291
"18",914756
"19",-440294
"20",-761298
"21",947340
"22",41727
"23",-600203
"24",-710320
"25",-519411
"26",-813955
"27",-280170
"28",169876
"29",89255
"30",549220
"31",923700
"32",-368010
"33",378604
"34",378894
"35",-359353
"36",-310131
"37",267520
"38",-638997
"39",-516031
"40",207519
"41",141324
"42",812893
"43",-956637
"44",-791056
"45",955088
"46",50696
"47",-638722
"48",287982
"49",-71902
"50",-114196
"51",-88382
"52",-843162
"53",-186097
"54",-900330
"55",144209
"56",-895870
"57",506370
"58",-3339
"59",-95533
"60",248317
"61",-351016
"62",-283876
"63",736291
"64",613880
"65",-594372
"66",-324343
"67",65092
"68",858574
"69",-442874
"70",253559
"71",225013
"72",-844709
"73",-917414
"74",-459069
"75",-369332
"76",751769
"77",359391
"78",-343907
"79",626194
"80",674662
"81",476213
"82",-249465
"83",376661
"84",-100196
"85",-51203
"86",-984785
"87",511681
"88",-284520
"89",761697
"90",815763
"91",-92694
"92",777037
"93",332757
"94",38226
"95",-766360
"96",969901
"97",-298212
"98",-47846
"99",-579859
"100",-478591
