"","x"
"1",0.571783024826027
"2",0.581192047786041
"3",0.598174712786832
"4",0.539741411557008
"5",0.561538665497685
"6",0.557380653268681
"7",0.488940616846352
"8",0.540696595307207
"9",0.578051090898042
"10",0.569450028499715
"11",0.58831819786871
"12",0.589907466012397
"13",0.521707521664631
"14",0.583803906756077
"15",0.586254483733535
"16",0.586332649915716
"17",0.557445465385312
"18",0.57323726622889
"19",0.568738280866258
"20",0.594155356756463
"21",0.56838398137642
"22",0.595838079792194
"23",0.527506947255072
"24",0.592538775824102
"25",0.565549159588554
"26",0.584192918561486
"27",0.560407449105818
"28",0.594884306894613
"29",0.595516381698746
"30",0.557121499852442
"31",0.596275281863253
"32",0.597033454414436
"33",0.578967079846018
"34",0.565310757516284
"35",0.573986426161792
"36",0.591832549625444
"37",0.600207502376612
"38",0.607697146369017
"39",0.564282086216503
"40",0.58008256458301
"41",0.570318817094328
"42",0.567342722507038
"43",0.617897188078351
"44",0.528528229028222
"45",0.507782778682698
"46",0.552031826399408
"47",0.55148448195868
"48",0.552451759612321
"49",0.561190998977121
"50",0.56241706535054
"51",0.568331919534169
"52",0.563717794226397
"53",0.58360056755623
"54",0.584123133489236
"55",0.581407559500032
"56",0.5029579701297
"57",0.513467607980995
"58",0.581767662834647
"59",0.56426563826315
"60",0.585965489379789
"61",0.573991514867431
"62",0.566126696019716
"63",0.547441169959224
"64",0.602957574182024
"65",0.549797349105621
"66",0.588689185982798
"67",0.58819329164863
"68",0.56303038118613
"69",0.568578112808094
"70",0.596975623903056
"71",0.588268920539694
"72",0.57309833542501
"73",0.59370325778569
"74",0.562555807211161
"75",0.564620272224701
"76",0.581724822868069
"77",0.530934786237766
"78",0.583689195877032
"79",0.565436565574657
"80",0.588600146335612
"81",0.584455940521957
"82",0.582354906192553
"83",0.572449003150696
"84",0.615008544938326
"85",0.588107402095983
"86",0.55597876922588
"87",0.583941006817225
"88",0.579289061690903
"89",0.550840291968421
"90",0.586880578586383
"91",0.525316648830582
"92",0.601726232399908
"93",0.537051711056154
"94",0.570824730274104
"95",0.602093173830368
"96",0.591348908472002
"97",0.585320328773584
"98",0.57286544897055
"99",0.552621710150435
"100",0.567246026818984
