"","x"
"1",-226712
"2",181680
"3",383641
"4",-863164
"5",-432152
"6",-65114
"7",-428291
"8",151146
"9",252724
"10",-505007
"11",670152
"12",-477413
"13",489490
"14",-349478
"15",700428
"16",-682965
"17",-545499
"18",403272
"19",-450041
"20",-868273
"21",991016
"22",537812
"23",815645
"24",-521911
"25",-737284
"26",212141
"27",42273
"28",164301
"29",375549
"30",975947
"31",-911891
"32",237632
"33",-992129
"34",767610
"35",812959
"36",389734
"37",-443758
"38",-508590
"39",998893
"40",-590605
"41",668696
"42",388673
"43",-860917
"44",-811000
"45",703805
"46",845091
"47",-831393
"48",-69842
"49",141853
"50",883505
"51",-63655
"52",253067
"53",-577677
"54",-822739
"55",802184
"56",-153302
"57",-154707
"58",-148244
"59",-328131
"60",-135804
"61",462653
"62",171277
"63",-123135
"64",363514
"65",393713
"66",831037
"67",83767
"68",413130
"69",-515907
"70",419609
"71",-199310
"72",767154
"73",326772
"74",-935195
"75",-310091
"76",543886
"77",292525
"78",429777
"79",418773
"80",-396922
"81",-923663
"82",-867862
"83",707795
"84",-843510
"85",337791
"86",-688471
"87",-494806
"88",468688
"89",-299576
"90",851612
"91",242151
"92",922058
"93",-330584
"94",-19804
"95",341975
"96",-547333
"97",-978888
"98",828084
"99",-349307
"100",-364935
