"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","SNP effect","'-log10(P)'","Genotype for code 1"
"15","Trait15","mrMLM","PstI.TP506588","1","80675","-7.7664e-05","0.0036","C"
"15","Trait15","mrMLM","PstI.TP863331","1","161269","7.1644e-05","0.0033","A"
"15","Trait15","mrMLM","PstI.TP424788","1","263370","-3.3107e-05","0.0015","A"
"15","Trait15","mrMLM","PstI.TP931820","1","284314","7.2765e-06","3e-04","A"
"15","Trait15","mrMLM","NsiI.TP148773","1","285352","1e-04","0.005","A"
"15","Trait15","mrMLM","PstI.TP1106845","1","416796","-1e-04","0.0043","A"
"15","Trait15","mrMLM","PstI.TP425356","1","569039","4.5498e-06","2e-04","C"
"15","Trait15","mrMLM","PstI.TP999740","1","569491","7.7029e-05","0.0036","A"
"15","Trait15","mrMLM","NsiI.TP585976","1","829048","-0.3105","0.6421","C"
"15","Trait15","mrMLM","PstI.TP1152021","1","865447","8.3224e-05","0.0039","A"
"15","Trait15","mrMLM","PstI.TP716618","1","918921","0.3561","0.4676","G"
"15","Trait15","mrMLM","PstI.TP1246584","1","1015480","-0.3231","1.2536","C"
"15","Trait15","mrMLM","PstI.TP354591","1","1050082","2e-04","0.0076","C"
"15","Trait15","mrMLM","PstI.TP856852","1","1153760","0.0205","0.0911","G"
"15","Trait15","mrMLM","PstI.TP775725","1","1175417","-1.5852e-05","7e-04","A"
"15","Trait15","mrMLM","NsiI.TP72077","1","1422420","-0.0066","0.047","A"
"15","Trait15","mrMLM","NsiI.TP796534","1","1682668","-0.7947","1.0192","A"
"15","Trait15","mrMLM","PstI.TP929619","1","1952038","-1.4528e-05","7e-04","A"
"15","Trait15","mrMLM","PstI.TP417865","1","2030761","7.093e-05","0.0033","C"
"15","Trait15","mrMLM","NsiI.TP666080","1","2031570","-0.1898","0.4239","C"
"15","Trait15","mrMLM","PstI.TP885267","1","2084430","4.2547e-05","0.002","A"
"15","Trait15","mrMLM","PstI.TP1294018","1","2280325","4.763e-05","0.0022","C"
"15","Trait15","mrMLM","PstI.TP56795","1","2315051","-1.9562e-05","9e-04","G"
"15","Trait15","mrMLM","PstI.TP108989","1","2588793","1e-04","0.0047","C"
"15","Trait15","mrMLM","PstI.TP966432","1","2596832","9.5344e-05","0.0044","A"
