"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","SNP effect","'-log10(P)'","Genotype for code 1"
"18","Trait18","mrMLM","PstI.TP506588","1","80675","-0.0742","0.1586","C"
"18","Trait18","mrMLM","PstI.TP863331","1","161269","5.9204e-05","0.0032","A"
"18","Trait18","mrMLM","PstI.TP424788","1","263370","-5.5542e-05","0.003","A"
"18","Trait18","mrMLM","PstI.TP931820","1","284314","1.3526e-05","7e-04","A"
"18","Trait18","mrMLM","NsiI.TP148773","1","285352","1e-04","0.0064","A"
"18","Trait18","mrMLM","PstI.TP1106845","1","416796","-0.0544","0.1178","A"
"18","Trait18","mrMLM","PstI.TP425356","1","569039","5.8832e-06","3e-04","C"
"18","Trait18","mrMLM","PstI.TP999740","1","569491","0.0186","0.1023","A"
"18","Trait18","mrMLM","PstI.TP1152021","1","865447","6.5825e-05","0.0036","A"
"18","Trait18","mrMLM","PstI.TP716618","1","918921","0.3482","0.5623","G"
"18","Trait18","mrMLM","PstI.TP354591","1","1050082","2e-04","0.0084","C"
"18","Trait18","mrMLM","PstI.TP856852","1","1153760","0.0561","0.19","G"
"18","Trait18","mrMLM","PstI.TP775725","1","1175417","9.2766e-06","5e-04","A"
"18","Trait18","mrMLM","PstI.TP929619","1","1952038","-3.7334e-05","0.002","A"
"18","Trait18","mrMLM","PstI.TP417865","1","2030761","3.6988e-05","0.002","C"
"18","Trait18","mrMLM","PstI.TP885267","1","2084430","3.5067e-05","0.0019","A"
"18","Trait18","mrMLM","PstI.TP1294018","1","2280325","4.4658e-05","0.0024","C"
"18","Trait18","mrMLM","PstI.TP56795","1","2315051","-1.7274e-05","9e-04","G"
"18","Trait18","mrMLM","PstI.TP966432","1","2596832","7.713e-05","0.0042","A"
"18","Trait18","mrMLM","PstI.TP441536","1","2816855","2e-04","0.0127","C"
"18","Trait18","mrMLM","PstI.TP1085601","1","2820903","9.6966e-05","0.0053","A"
"18","Trait18","mrMLM","PstI.TP525202","1","2884119","-2.8097e-05","0.0015","A"
"18","Trait18","mrMLM","PstI.TP1268585","1","2988383","-0.1978","0.5217","C"
"18","Trait18","mrMLM","PstI.TP59735","1","3027630","-1.9498e-05","0.0011","A"
"18","Trait18","mrMLM","PstI.TP849876","1","3050119","0.1013","0.3223","C"
"18","Trait18","mrMLM","PstI.TP209693","1","3305106","-0.2169","0.4547","A"
"18","Trait18","mrMLM","PstI.TP626124","1","3342723","-4.7142e-05","0.0026","A"
"18","Trait18","mrMLM","PstI.TP1059573","1","3357749","-1e-04","0.0066","A"
"18","Trait18","mrMLM","NsiI.TP504485","1","3381640","-8.6251e-05","0.0047","A"
"18","Trait18","mrMLM","PstI.TP1244443","1","3397749","-0.0871","0.3035","C"
"18","Trait18","mrMLM","PstI.TP1199997","1","3471828","1.2246e-05","7e-04","C"
"18","Trait18","mrMLM","PstI.TP757375","1","3471897","-0.0764","0.1777","A"
"18","Trait18","mrMLM","PstI.TP726521","1","3535515","8.3648e-05","0.0046","C"
"18","Trait18","mrMLM","PstI.TP374511","1","3576636","0.2588","0.7528","A"
"18","Trait18","mrMLM","PstI.TP1267977","1","3576713","-8.018e-05","0.0044","A"
"18","Trait18","mrMLM","PstI.TP1155202","1","3620639","-4.4839e-05","0.0025","A"
"18","Trait18","mrMLM","PstI.TP961085","1","3705536","2e-04","0.0094","A"
"18","Trait18","mrMLM","PstI.TP21889","1","3705780","2e-04","0.0112","A"
"18","Trait18","mrMLM","PstI.TP1053336","1","3955998","6.9391e-05","0.0038","A"
"18","Trait18","mrMLM","PstI.TP891020","1","4033768","0.1803","0.4364","G"
"18","Trait18","mrMLM","PstI.TP1007615","1","4064445","3.9297e-05","0.0022","A"
"18","Trait18","mrMLM","PstI.TP629254","1","4276045","-0.2132","0.362","A"
"18","Trait18","mrMLM","PstI.TP140451","1","4460094","2e-04","0.0087","G"
