"","x"
"1",429709
"2",-636256
"3",204393
"4",-389775
"5",590361
"6",802195
"7",-923295
"8",-357183
"9",-196049
"10",-446689
"11",-455041
"12",100360
"13",68656
"14",-288321
"15",923935
"16",-139813
"17",568868
"18",842056
"19",929471
"20",118837
"21",228358
"22",942074
"23",-257228
"24",922969
"25",-353559
"26",916223
"27",240738
"28",-724359
"29",751032
"30",-308366
"31",-290536
"32",417177
"33",-869797
"34",171368
"35",-577685
"36",771354
"37",122555
"38",788912
"39",170054
"40",691695
"41",691175
"42",-612972
"43",697839
"44",215001
"45",-751303
"46",-856274
"47",391250
"48",-330362
"49",282040
"50",-29587
"51",336168
"52",-992594
"53",218873
"54",199032
"55",-521265
"56",-368348
"57",-899590
"58",156929
"59",-712031
"60",200824
"61",374495
"62",515090
"63",349124
"64",-51875
"65",-95098
"66",-383913
"67",516156
"68",232488
"69",-493989
"70",804291
"71",-243927
"72",908505
"73",252807
"74",-895694
"75",167547
"76",-488883
"77",709328
"78",622958
"79",444504
"80",-770755
"81",-856310
"82",-784740
"83",710899
"84",498600
"85",187474
"86",-985006
"87",718290
"88",-540606
"89",-252501
"90",-908978
"91",-886819
"92",74733
"93",-887847
"94",-896564
"95",-168319
"96",-795266
"97",-123807
"98",14236
"99",-870452
"100",679380
