"","x"
"1",-745564
"2",934744
"3",679493
"4",964461
"5",-480247
"6",-706942
"7",42360
"8",-276575
"9",847955
"10",-817819
"11",285782
"12",937181
"13",-697140
"14",121142
"15",-581736
"16",-38348
"17",60133
"18",-793383
"19",-99229
"20",735356
"21",-506105
"22",-467157
"23",-297752
"24",332043
"25",517770
"26",-926376
"27",-613943
"28",-741629
"29",-585179
"30",912673
"31",-600755
"32",520831
"33",638231
"34",-662186
"35",759713
"36",-609300
"37",-210918
"38",-791987
"39",-103369
"40",889174
"41",-814273
"42",-427846
"43",-720400
"44",-824475
"45",103021
"46",-49824
"47",-213343
"48",289179
"49",819053
"50",-33637
"51",953504
"52",231826
"53",-312121
"54",917437
"55",-513520
"56",-689235
"57",-136992
"58",-115611
"59",-551849
"60",-358101
"61",-545395
"62",607123
"63",240918
"64",923594
"65",-602079
"66",-941492
"67",189070
"68",696233
"69",408455
"70",-580169
"71",60930
"72",-860318
"73",3513
"74",-625017
"75",251370
"76",353095
"77",87151
"78",448794
"79",-616020
"80",814582
"81",101402
"82",252046
"83",884928
"84",923617
"85",62137
"86",-663568
"87",-12388
"88",-475542
"89",421723
"90",462069
"91",224105
"92",-777328
"93",-113543
"94",616506
"95",-249630
"96",176768
"97",50941
"98",818702
"99",-936676
"100",-520817
